id,character,jis,joyo,kanken,primary_school
1090,擁,1,1,3,0
1091,操,1,1,5,6
1092,擢,1,0,0,0
1093,擦,1,1,3,0
1094,擬,1,1,0,0
1095,擾,1,0,0,0
1096,支,1,1,6,5
1097,改,1,1,7,4
1098,攻,1,1,4,0
1099,放,1,1,8,3
1100,政,1,1,6,5
1101,故,1,1,6,5
1102,敏,1,1,4,0
1103,救,1,1,7,4
1104,敗,1,1,7,4
1105,教,1,1,9,2
1106,敢,1,1,3,0
1107,散,1,1,7,4
1108,敦,1,0,0,0
1109,敬,1,1,5,6
1110,数,1,1,9,2
1111,整,1,1,8,3
1112,敵,1,1,6,5
1113,敷,1,1,4,0
1114,文,1,1,10,1
1115,斉,1,1,0,0
1116,斌,1,0,0,0
1117,斎,1,1,0,0
1118,斐,1,0,0,0
1119,斑,1,1,2,0
1120,斗,1,1,3,0
1121,料,1,1,7,4
1122,斜,1,1,4,0
1123,斡,1,0,0,0
1124,斤,1,1,3,0
1125,斥,1,1,3,0
1126,斧,1,0,0,0
1127,斬,1,1,2,0
1128,断,1,1,6,5
1129,斯,1,0,0,0
1130,新,1,1,9,2
1131,方,1,1,9,2
1132,於,1,0,0,0
1133,施,1,1,3,0
1134,旅,1,1,8,3
1135,旋,1,1,0,0
1136,族,1,1,8,3
1137,旗,1,1,7,4
1138,既,1,1,3,0
1139,日,1,1,10,1
1140,旦,1,1,2,0
1141,旧,1,1,6,5
1142,旨,1,1,4,0
1143,早,1,1,10,1
1144,旬,1,1,4,0
1145,旭,1,0,0,0
1146,旺,1,1,2,0
1147,昂,1,0,0,0
1148,昆,1,1,0,0
1149,昇,1,1,3,0
1150,昌,1,0,0,0
1151,明,1,1,9,2
1152,昏,1,0,0,0
1153,易,1,1,6,5
1154,昔,1,1,8,3
1155,星,1,1,9,2
1156,映,1,1,5,6
1157,春,1,1,9,2
1158,昧,1,1,2,0
1159,昨,1,1,7,4
1160,昭,1,1,8,3
1161,是,1,1,4,0
1162,昼,1,1,9,2
1163,時,1,1,9,2
1164,晃,1,0,0,0
1165,晋,1,0,0,0
1166,晒,1,0,0,0
1167,晦,1,0,0,0
1168,晩,1,1,5,6
1169,普,1,1,4,0
1170,景,1,1,7,4
1171,晴,1,1,9,2
1172,晶,1,1,3,0
1173,智,1,0,0,0
1174,暁,1,1,0,0
1175,暇,1,1,4,0
1176,暑,1,1,8,3
1177,暖,1,1,5,6
1178,暗,1,1,8,3
1179,暢,1,0,0,0
1180,暦,1,1,4,0
1181,暫,1,1,3,0
1182,暮,1,1,5,6
1183,暴,1,1,6,5
1184,曇,1,1,4,0
1185,曙,1,0,0,0
1186,曜,1,1,9,2
1187,曝,1,0,0,0
1188,曲,1,1,8,3
1189,曳,1,0,0,0
1190,更,1,1,4,0
1191,書,1,1,9,2
1192,曹,1,1,0,0
1193,曽,1,1,2,0
1194,曾,1,0,0,0
1195,替,1,1,4,0
1196,最,1,1,7,4
1197,月,1,1,10,1
1198,有,1,1,8,3
1199,朋,1,0,0,0
1200,服,1,1,8,3
1201,朔,1,0,0,0
1202,朕,1,1,0,0
1203,朗,1,1,5,6
1204,望,1,1,7,4
1205,朝,1,1,9,2
1206,期,1,1,8,3
1207,木,1,1,10,1
1208,未,1,1,7,4
1209,末,1,1,7,4
1210,本,1,1,10,1
1211,札,1,1,7,4
1212,朱,1,1,4,0
1213,朴,1,1,0,0
1214,机,1,1,5,6
1215,朽,1,1,4,0
1216,杉,1,1,0,0
1217,李,1,0,0,0
1218,杏,1,0,0,0
1219,材,1,1,7,4
1220,村,1,1,10,1
1221,杓,1,0,0,0
1222,杖,1,0,0,0
1223,杜,1,0,0,0
1224,束,1,1,7,4
1225,条,1,1,6,5
1226,杢,1,0,0,0
1227,来,1,1,9,2
1228,杭,1,0,0,0
1229,杯,1,1,4,0
1230,東,1,1,9,2
1231,杵,1,0,0,0
1232,杷,1,0,0,0
1233,松,1,1,7,4
1234,板,1,1,8,3
1235,枇,1,0,0,0
1236,析,1,1,0,0
1237,枕,1,1,2,0
1238,林,1,1,10,1
1239,枚,1,1,5,6
1240,果,1,1,7,4
1241,枝,1,1,6,5
1242,枠,1,1,0,0
1243,枢,1,1,0,0
1244,枯,1,1,4,0
1245,架,1,1,3,0
1246,柁,1,0,0,0
1247,柄,1,1,4,0
1248,柊,1,0,0,0
1249,柏,1,0,0,0
1250,某,1,1,3,0
1251,柑,1,0,0,0
1252,染,1,1,5,6
1253,柔,1,1,4,0
1254,柘,1,0,0,0
1255,柚,1,0,0,0
1256,柱,1,1,8,3
1257,柳,1,1,0,0
1258,柴,1,0,0,0
1259,柵,1,1,2,0
1260,査,1,1,6,5
1261,柾,1,0,0,0
1262,柿,1,1,2,0
1263,栂,1,0,0,0
1264,栃,1,1,2,0
1265,栄,1,1,7,4
1266,栓,1,1,0,0
1267,栖,1,0,0,0
1268,栗,1,0,0,0
1269,校,1,1,10,1
1270,栢,1,0,0,0
1271,株,1,1,5,6
1272,栴,1,0,0,0
1273,核,1,1,0,0
1274,根,1,1,8,3
1275,格,1,1,6,5
1276,栽,1,1,0,0
1277,桁,1,1,2,0
1278,桂,1,0,0,0
1279,桃,1,1,4,0
1280,案,1,1,7,4
1281,桐,1,0,0,0
1282,桑,1,1,3,0
1283,桓,1,0,0,0
1284,桔,1,0,0,0
1285,桜,1,1,6,5
1286,桝,1,0,1,0
1287,桟,1,1,0,0
1288,桧,1,0,0,0
1289,桶,1,0,0,0
1290,梁,1,0,0,0
1291,梅,1,1,7,4
1292,梓,1,0,0,0
1293,梗,1,1,2,0
1294,梢,1,0,0,0
1295,梧,1,0,0,0
1296,梨,1,1,2,0
1297,梯,1,0,0,0
1298,械,1,1,7,4
1299,梱,1,0,0,0
1300,梶,1,0,0,0
1301,梼,1,0,0,0
1302,棄,1,1,3,0
1303,棉,1,0,0,0
1304,棋,1,1,3,0
1305,棒,1,1,5,6
1306,棚,1,1,0,0
1307,棟,1,1,0,0
1308,森,1,1,10,1
1309,棲,1,0,0,0
1310,棺,1,1,0,0
1311,椀,1,0,0,0
1312,椅,1,1,2,0
1313,椋,1,0,0,0
1314,植,1,1,8,3
1315,椎,1,1,2,0
1316,椙,1,0,0,0
1317,椛,1,0,0,0
1318,検,1,1,6,5
1319,椴,1,0,0,0
1320,椿,1,0,0,0
1321,楊,1,0,0,0
1322,楓,1,0,0,0
1323,楕,1,0,0,0
1324,楚,1,0,0,0
1325,楠,1,0,0,0
1326,楢,1,0,0,0
1327,業,1,1,8,3
1328,楯,1,0,0,0
1329,楳,1,0,0,0
1330,極,1,1,7,4
1331,楼,1,1,3,0
1332,楽,1,1,9,2
1333,概,1,1,3,0
1334,榊,1,0,0,0
1335,榎,1,0,0,0
1336,榔,1,0,1,0
1337,榛,1,0,0,0
1338,構,1,1,6,5
1339,槌,1,0,0,0
1340,槍,1,0,0,0
1341,様,1,1,8,3
1342,槙,1,0,0,0
1343,槻,1,0,0,0
1344,槽,1,1,0,0
1345,樋,1,0,0,0
1346,樗,1,0,0,0
1347,標,1,1,7,4
1348,樟,1,0,0,0
1349,模,1,1,5,6
1350,権,1,1,5,6
1351,横,1,1,8,3
1352,樫,1,0,0,0
1353,樵,1,0,0,0
1354,樹,1,1,5,6
1355,樺,1,0,0,0
1356,樽,1,0,0,0
1357,橋,1,1,8,3
1358,橘,1,0,0,0
1359,機,1,1,7,4
1360,橡,1,0,0,0
1361,橿,1,0,0,0
1362,檀,1,0,0,0
1363,檎,1,0,0,0
1364,櫓,1,0,0,0
1365,櫛,1,0,0,0
1366,櫨,1,0,1,0
1367,欄,1,1,4,0
1368,欝,1,0,0,0
1369,欠,1,1,7,4
1370,次,1,1,8,3
1371,欣,1,0,0,0
1372,欧,1,1,3,0
1373,欲,1,1,5,6
1374,欺,1,1,3,0
1375,欽,1,0,0,0
1376,款,1,1,0,0
1377,歌,1,1,9,2
1378,歎,1,0,0,0
1379,歓,1,1,4,0
1380,止,1,1,9,2
1381,正,1,1,10,1
1382,此,1,0,0,0
1383,武,1,1,6,5
1384,歩,1,1,9,2
1385,歪,1,0,0,0
1386,歯,1,1,8,3
1387,歳,1,1,4,0
1388,歴,1,1,7,4
1389,死,1,1,8,3
1390,殆,1,0,0,0
1391,殉,1,1,0,0
1392,殊,1,1,3,0
1393,残,1,1,7,4
1394,殖,1,1,4,0
1395,殴,1,1,3,0
1396,段,1,1,5,6
1397,殺,1,1,7,4
1398,殻,1,1,0,0
1399,殿,1,1,4,0
1400,毅,1,0,0,0
1401,母,1,1,9,2
1402,毎,1,1,9,2
1403,毒,1,1,7,4
1404,比,1,1,6,5
1405,毘,1,0,0,0
1406,毛,1,1,9,2
1407,氏,1,1,7,4
1408,民,1,1,7,4
1409,気,1,1,10,1
1410,水,1,1,10,1
1411,氷,1,1,8,3
1412,永,1,1,6,5
1413,氾,1,1,2,0
1414,汀,1,0,0,0
1415,汁,1,1,0,0
1416,求,1,1,7,4
1417,汎,1,1,2,0
1418,汐,1,0,0,0
1419,汗,1,1,4,0
1420,汚,1,1,4,0
1421,汝,1,0,0,0
1422,江,1,1,0,0
1423,池,1,1,9,2
1424,汰,1,1,2,0
1425,汲,1,0,0,0
1426,決,1,1,8,3
1427,汽,1,1,9,2
1428,沃,1,1,2,0
1429,沈,1,1,4,0
1430,沌,1,0,0,0
1431,沓,1,0,0,0
1432,沖,1,1,4,0
1433,沙,1,1,2,0
1434,没,1,1,3,0
1435,沢,1,1,4,0
1436,沫,1,0,0,0
1437,河,1,1,6,5
1438,沸,1,1,0,0
1439,油,1,1,8,3
1440,治,1,1,7,4
1441,沼,1,1,4,0
1442,沿,1,1,5,6
1443,況,1,1,4,0
1444,泉,1,1,5,6
1445,泊,1,1,4,0
1446,泌,1,1,3,0
1447,法,1,1,7,4
1448,泡,1,1,0,0
1449,波,1,1,8,3
1450,泣,1,1,7,4
1451,泥,1,1,0,0
1452,注,1,1,8,3
1453,泰,1,1,0,0
1454,泳,1,1,8,3
1455,洋,1,1,8,3
1456,洗,1,1,5,6
1457,洛,1,0,0,0
1458,洞,1,1,0,0
1459,津,1,1,0,0
1460,洩,1,0,0,0
1461,洪,1,1,0,0
1462,洲,1,0,0,0
1463,活,1,1,9,2
1464,派,1,1,5,6
1465,流,1,1,8,3
1466,浄,1,1,0,0
1467,浅,1,1,7,4
1468,浜,1,1,4,0
1469,浦,1,1,0,0
1470,浩,1,0,0,0
1471,浪,1,1,3,0
1472,浬,1,0,0,0
1473,浮,1,1,4,0
1474,浴,1,1,7,4
1475,海,1,1,9,2
1476,浸,1,1,4,0
1477,消,1,1,8,3
1478,涌,1,0,0,0
1479,涙,1,1,4,0
1480,涛,1,0,0,0
1481,涜,1,0,0,0
1482,涯,1,1,0,0
1483,液,1,1,6,5
1484,涼,1,1,0,0
1485,淀,1,0,0,0
1486,淋,1,0,0,0
1487,淑,1,1,0,0
1488,淘,1,0,0,0
1489,淡,1,1,4,0
1490,淫,1,1,2,0
1491,深,1,1,8,3
1492,淳,1,0,0,0
1493,淵,1,0,0,0
1494,混,1,1,6,5
1495,添,1,1,4,0
1496,清,1,1,7,4
1497,渇,1,1,0,0
1498,済,1,1,5,6
1499,渉,1,1,0,0
1500,渋,1,1,0,0
1501,渓,1,1,0,0
1502,渚,1,0,0,0
1503,減,1,1,6,5
1504,渠,1,0,0,0
1505,渡,1,1,4,0
1506,渥,1,0,0,0
1507,渦,1,1,0,0
1508,温,1,1,8,3
1509,測,1,1,6,5
1510,港,1,1,8,3
1511,湊,1,0,0,0
1512,湖,1,1,8,3
1513,湘,1,0,0,0
1514,湛,1,0,0,0
1515,湧,1,1,2,0
1516,湯,1,1,8,3
1517,湾,1,1,3,0
1518,湿,1,1,3,0
1519,満,1,1,7,4
1520,溌,1,0,0,0
1521,源,1,1,5,6
1522,準,1,1,6,5
1523,溜,1,0,0,0
1524,溝,1,1,0,0
1525,溢,1,0,0,0
1526,溶,1,1,4,0
1527,溺,1,1,2,0
1528,滅,1,1,3,0
1529,滋,1,1,0,0
1530,滑,1,1,3,0
1531,滝,1,1,3,0
1532,滞,1,1,3,0
1533,滴,1,1,4,0
1534,漁,1,1,7,4
1535,漂,1,1,3,0
1536,漆,1,1,0,0
1537,漉,1,0,0,0
1538,漏,1,1,3,0
1539,演,1,1,6,5
1540,漕,1,0,0,0
1541,漠,1,1,0,0
1542,漢,1,1,8,3
1543,漣,1,0,0,0
1544,漫,1,1,4,0
1545,漬,1,1,0,0
1546,漸,1,1,0,0
1547,潅,1,0,0,0
1548,潔,1,1,6,5
1549,潜,1,1,3,0
1550,潟,1,1,0,0
1551,潤,1,1,3,0
1552,潮,1,1,5,6
1553,潰,1,1,2,0
1554,澄,1,1,4,0
1555,澗,1,0,0,0
1556,澱,1,0,0,0
1557,激,1,1,5,6
1558,濁,1,1,4,0
1559,濃,1,1,4,0
1560,濠,1,0,0,0
1561,濡,1,0,0,0
1562,濫,1,1,3,0
1563,濯,1,1,0,0
1564,瀕,1,0,0,0
1565,瀞,1,0,0,0
1566,瀦,1,0,0,0
1567,瀧,1,0,0,0
1568,瀬,1,1,3,0
1569,灘,1,0,0,0
1570,火,1,1,10,1
1571,灯,1,1,7,4
1572,灰,1,1,5,6
1573,灸,1,0,0,0
1574,灼,1,0,0,0
1575,災,1,1,6,5
1576,炉,1,1,3,0
1577,炊,1,1,3,0
1578,炎,1,1,3,0
1579,炭,1,1,8,3
1580,点,1,1,9,2
1581,為,1,1,4,0
1582,烈,1,1,4,0
1583,烏,1,0,0,0
1584,烹,1,0,0,0
1585,焔,1,0,0,0
1586,焚,1,0,0,0
1587,無,1,1,7,4
1588,焦,1,1,3,0
1589,然,1,1,7,4
1590,焼,1,1,7,4
1591,煉,1,0,0,0
1592,煎,1,1,2,0
1593,煙,1,1,4,0
1594,煤,1,0,0,0
1595,照,1,1,7,4
1596,煩,1,1,0,0
1597,煮,1,1,4,0
1598,煽,1,0,0,0
1599,熊,1,1,2,0
1600,熔,1,0,0,0
1601,熟,1,1,5,6
1602,熱,1,1,7,4
1603,燃,1,1,6,5
1604,燈,1,0,0,0
1605,燐,1,0,0,0
1606,燕,1,0,0,0
1607,燥,1,1,4,0
1608,燦,1,0,0,0
1609,燭,1,0,0,0
1610,爆,1,1,4,0
1611,爪,1,1,2,0
1612,爵,1,1,0,0
1613,父,1,1,9,2
1614,爺,1,0,0,0
1615,爽,1,1,2,0
1616,爾,1,0,0,0
1617,片,1,1,5,6
1618,版,1,1,6,5
1619,牌,1,0,0,0
1620,牒,1,0,0,0
1621,牙,1,1,2,0
1622,牛,1,1,9,2
1623,牝,1,0,0,0
1624,牟,1,0,0,0
1625,牡,1,0,0,0
1626,牢,1,0,0,0
1627,牧,1,1,7,4
1628,物,1,1,8,3
1629,牲,1,1,3,0
1630,特,1,1,7,4
1631,牽,1,0,0,0
1632,犀,1,0,0,0
1633,犠,1,1,3,0
1634,犬,1,1,10,1
1635,犯,1,1,6,5
1636,状,1,1,6,5
1637,狂,1,1,4,0
1638,狐,1,0,0,0
1639,狗,1,0,0,0
1640,狙,1,1,2,0
1641,狛,1,0,0,0
1642,狩,1,1,4,0
1643,独,1,1,6,5
1644,狭,1,1,4,0
1645,狸,1,0,0,0
1646,狼,1,0,0,0
1647,狽,1,0,0,0
1648,猛,1,1,4,0
1649,猟,1,1,3,0
1650,猪,1,0,0,0
1651,猫,1,1,0,0
1652,献,1,1,0,0
1653,猶,1,1,0,0
1654,猷,1,0,0,0
1655,猿,1,1,0,0
1656,獄,1,1,3,0
1657,獅,1,0,0,0
1658,獣,1,1,4,0
1659,獲,1,1,4,0
1660,玄,1,1,4,0
1661,率,1,1,6,5
1662,玉,1,1,10,1
1663,王,1,1,10,1
1664,玖,1,0,0,0
1665,玩,1,1,2,0
1666,玲,1,0,0,0
1667,珂,1,0,0,0
1668,珊,1,0,0,0
1669,珍,1,1,4,0
1670,珠,1,1,0,0
1671,珪,1,0,0,0
1672,班,1,1,5,6
1673,現,1,1,6,5
1674,球,1,1,8,3
1675,理,1,1,9,2
1676,琉,1,0,0,0
1677,琢,1,0,0,0
1678,琳,1,0,0,0
1679,琴,1,1,0,0
1680,琵,1,0,0,0
1681,琶,1,0,0,0
1682,瑚,1,0,0,0
1683,瑛,1,0,0,0
1684,瑞,1,0,0,0
1685,瑠,1,1,2,0
1686,瑳,1,0,0,0
1687,璃,1,1,2,0
1688,環,1,1,4,0
1689,璽,1,1,0,0
1690,瓜,1,0,0,0
1691,瓢,1,0,0,0
1692,瓦,1,1,2,0
1693,瓶,1,1,0,0
1694,甑,1,0,0,0
1695,甘,1,1,4,0
1696,甚,1,1,0,0
1697,甜,1,0,0,0
1698,生,1,1,10,1
1699,産,1,1,7,4
1700,甥,1,0,0,0
1701,用,1,1,9,2
1702,甫,1,0,0,0
1703,田,1,1,10,1
1704,由,1,1,8,3
1705,甲,1,1,3,0
1706,申,1,1,8,3
1707,男,1,1,10,1
1708,町,1,1,10,1
1709,画,1,1,9,2
1710,界,1,1,8,3
1711,畏,1,1,2,0
1712,畑,1,1,8,3
1713,畔,1,1,3,0
1714,留,1,1,6,5
1715,畜,1,1,3,0
1716,畝,1,1,0,0
1717,畠,1,0,0,0
1718,畢,1,0,0,0
1719,略,1,1,6,5
1720,畦,1,0,0,0
1721,番,1,1,9,2
1722,異,1,1,5,6
1723,畳,1,1,4,0
1724,畷,1,0,0,0
1725,畿,1,1,2,0
1726,疋,1,0,0,0
1727,疎,1,1,0,0
1728,疏,1,0,0,0
1729,疑,1,1,5,6
1730,疫,1,1,0,0
1731,疲,1,1,4,0
1732,疹,1,0,0,0
1733,疾,1,1,3,0
1734,病,1,1,8,3
1735,症,1,1,0,0
1736,痔,1,0,0,0
1737,痕,1,1,2,0
1738,痘,1,1,3,0
1739,痛,1,1,5,6
1740,痢,1,1,0,0
1741,痩,1,1,2,0
1742,痴,1,1,0,0
1743,療,1,1,4,0
1744,癌,1,0,0,0
1745,癒,1,1,0,0
1746,癖,1,1,3,0
1747,発,1,1,8,3
1748,登,1,1,8,3
1749,白,1,1,10,1
1750,百,1,1,10,1
1751,的,1,1,7,4
1752,皆,1,1,4,0
1753,皇,1,1,5,6
1754,皐,1,0,0,0
1755,皮,1,1,8,3
1756,皿,1,1,8,3
1757,盃,1,0,0,0
1758,盆,1,1,4,0
1759,盈,1,0,0,0
1760,益,1,1,6,5
1761,盗,1,1,4,0
1762,盛,1,1,5,6
1763,盟,1,1,5,6
1764,監,1,1,4,0
1765,盤,1,1,4,0
1766,目,1,1,10,1
1767,盲,1,1,0,0
1768,直,1,1,9,2
1769,相,1,1,8,3
1770,盾,1,1,4,0
1771,省,1,1,7,4
1772,眉,1,1,2,0
1773,看,1,1,5,6
1774,県,1,1,8,3
1775,真,1,1,8,3
1776,眠,1,1,4,0
1777,眺,1,1,0,0
1778,眼,1,1,6,5
1779,着,1,1,8,3
1780,睡,1,1,0,0
1781,督,1,1,0,0
1782,睦,1,1,2,0
1783,瞥,1,0,0,0
1784,瞬,1,1,4,0
1785,瞭,1,1,2,0
1786,瞳,1,1,2,0
1787,矛,1,1,4,0
1788,矢,1,1,9,2
1789,知,1,1,9,2
1790,矧,1,0,0,0
1791,矩,1,0,0,0
1792,短,1,1,8,3
1793,矯,1,1,0,0
1794,石,1,1,10,1
1795,砂,1,1,5,6
1796,研,1,1,8,3
1797,砕,1,1,0,0
1798,砥,1,0,0,0
1799,砦,1,0,0,0
1800,砧,1,0,0,0
1801,砲,1,1,4,0
1802,破,1,1,6,5
1803,砺,1,0,0,0
1804,砿,1,0,0,0
1805,硝,1,1,0,0
1806,硫,1,1,0,0
1807,硬,1,1,3,0
1808,硯,1,0,0,0
1809,硲,1,0,0,0
1810,碁,1,1,0,0
1811,碇,1,0,0,0
1812,碍,1,0,0,0
1813,碑,1,1,3,0
1814,碓,1,0,0,0
1815,碕,1,0,0,0
1816,碗,1,0,0,0
1817,碧,1,0,0,0
1818,碩,1,0,0,0
1819,確,1,1,6,5
1820,磁,1,1,5,6
1821,磐,1,0,0,0
1822,磨,1,1,0,0
1823,磯,1,0,0,0
1824,礁,1,1,0,0
1825,礎,1,1,3,0
1826,示,1,1,6,5
1827,礼,1,1,8,3
1828,社,1,1,9,2
1829,祁,1,0,0,0
1830,祇,1,0,0,0
1831,祈,1,1,4,0
1832,祉,1,1,3,0
1833,祐,1,0,0,0
1834,祖,1,1,6,5
1835,祝,1,1,7,4
1836,神,1,1,8,3
1837,祢,1,0,0,0
1838,祥,1,1,0,0
1839,票,1,1,7,4
1840,祭,1,1,8,3
1841,祷,1,0,0,0
1842,禁,1,1,6,5
1843,禄,1,0,0,0
1844,禅,1,1,0,0
1845,禍,1,1,0,0
1846,禎,1,0,0,0
1847,福,1,1,8,3
1848,禦,1,0,0,0
1849,禰,1,0,0,0
1850,禽,1,0,0,0
1851,禾,1,0,0,0
1852,禿,1,0,0,0
1853,秀,1,1,4,0
1854,私,1,1,5,6
1855,秋,1,1,9,2
1856,科,1,1,9,2
1857,秒,1,1,8,3
1858,秘,1,1,5,6
1859,租,1,1,0,0
1860,秤,1,0,0,0
1861,秦,1,0,0,0
1862,秩,1,1,0,0
1863,称,1,1,4,0
1864,移,1,1,6,5
1865,稀,1,0,0,0
1866,程,1,1,6,5
1867,税,1,1,6,5
1868,稔,1,0,0,0
1869,稗,1,0,0,0
1870,稚,1,1,3,0
1871,稜,1,0,0,0
1872,種,1,1,7,4
1873,稲,1,1,4,0
1874,稼,1,1,0,0
1875,稽,1,1,2,0
1876,稿,1,1,4,0
1877,穀,1,1,5,6
1878,穂,1,1,3,0
1879,穆,1,0,0,0
1880,積,1,1,7,4
1881,穎,1,0,0,0
1882,穏,1,1,3,0
1883,穐,1,0,0,0
1884,穣,1,0,0,0
1885,穫,1,1,3,0
1886,穴,1,1,5,6
1887,究,1,1,8,3
1888,空,1,1,10,1
1889,穿,1,0,0,0
1890,突,1,1,4,0
1891,窃,1,1,0,0
1892,窄,1,0,0,0
1893,窒,1,1,3,0
1894,窓,1,1,5,6
1895,窟,1,1,2,0
1896,窪,1,0,0,0
1897,窮,1,1,0,0
1898,窯,1,1,0,0
1899,窺,1,0,0,0
1900,竃,1,0,0,0
1901,立,1,1,10,1
1902,竜,1,1,0,0
1903,章,1,1,8,3
1904,竣,1,0,0,0
1905,童,1,1,8,3
1906,竪,1,0,0,0
1907,端,1,1,4,0
1908,競,1,1,7,4
1909,竹,1,1,10,1
1910,竺,1,0,0,0
1911,竿,1,0,0,0
1912,笈,1,0,0,0
1913,笑,1,1,7,4
1914,笛,1,1,8,3
1915,笠,1,0,0,0
1916,笥,1,0,0,0
1917,符,1,1,3,0
1918,第,1,1,8,3
1919,笹,1,0,0,0
1920,筆,1,1,8,3
1921,筈,1,0,0,0
1922,等,1,1,8,3
1923,筋,1,1,5,6
1924,筏,1,0,0,0
1925,筑,1,0,0,0
1926,筒,1,1,0,0
1927,答,1,1,9,2
1928,策,1,1,5,6
1929,箆,1,0,0,0
1930,箇,1,1,4,0
1931,箔,1,0,0,0
1932,箕,1,0,0,0
1933,算,1,1,9,2
1934,管,1,1,7,4
1935,箪,1,0,0,0
1936,箭,1,0,0,0
1937,箱,1,1,8,3
1938,箸,1,1,2,0
1939,節,1,1,7,4
1940,範,1,1,4,0
1941,篇,1,0,0,0
1942,築,1,1,6,5
1943,篠,1,0,0,0
1944,篤,1,1,3,0
1945,篭,1,0,0,0
1946,簡,1,1,5,6
1947,簸,1,0,0,0
1948,簾,1,0,0,0
1949,簿,1,1,3,0
1950,籍,1,1,3,0
1951,米,1,1,9,2
1952,籾,1,0,0,0
1953,粁,1,0,0,0
1954,粂,1,0,0,0
1955,粉,1,1,7,4
1956,粋,1,1,3,0
1957,粍,1,0,0,0
1958,粒,1,1,4,0
1959,粕,1,0,0,0
1960,粗,1,1,3,0
1961,粘,1,1,3,0
1962,粛,1,1,0,0
1963,粟,1,0,0,0
1964,粥,1,0,0,0
1965,粧,1,1,0,0
1966,精,1,1,6,5
1967,糊,1,0,0,0
1968,糎,1,0,0,0
1969,糖,1,1,5,6
1970,糞,1,0,0,0
1971,糟,1,0,0,0
1972,糠,1,0,0,0
1973,糧,1,1,3,0
1974,糸,1,1,10,1
1975,系,1,1,5,6
1976,糾,1,1,0,0
1977,紀,1,1,7,4
1978,約,1,1,7,4
1979,紅,1,1,5,6
1980,紋,1,1,4,0
1981,納,1,1,5,6
1982,紐,1,0,0,0
1983,純,1,1,5,6
1984,紗,1,0,0,0
1985,紘,1,0,0,0
1986,紙,1,1,9,2
1987,級,1,1,8,3
1988,紛,1,1,3,0
1989,素,1,1,6,5
1990,紡,1,1,0,0
1991,索,1,1,0,0
1992,紫,1,1,4,0
1993,紬,1,0,0,0
1994,累,1,1,0,0
1995,細,1,1,9,2
1996,紳,1,1,0,0
1997,紹,1,1,4,0
1998,紺,1,1,3,0
1999,終,1,1,8,3
2000,絃,1,0,0,0
2001,組,1,1,9,2
2002,経,1,1,6,5
2003,結,1,1,7,4
2004,絞,1,1,3,0
2005,絡,1,1,4,0
2006,絢,1,0,0,0
2007,給,1,1,7,4
2008,統,1,1,6,5
2009,絵,1,1,9,2
2010,絶,1,1,6,5
2011,絹,1,1,5,6
2012,継,1,1,4,0
2013,続,1,1,7,4
2014,綜,1,0,0,0
2015,綬,1,0,0,0
2016,維,1,1,4,0
2017,綱,1,1,3,0
2018,網,1,1,4,0
2019,綴,1,0,0,0
2020,綻,1,1,2,0
2021,綾,1,0,0,0
2022,綿,1,1,6,5
2023,緊,1,1,3,0
2024,緋,1,0,0,0
2025,総,1,1,6,5
2026,緑,1,1,8,3
2027,緒,1,1,0,0
2028,線,1,1,9,2
2029,締,1,1,3,0
2030,編,1,1,6,5
2031,緩,1,1,3,0
2032,緬,1,0,0,0
2033,緯,1,1,4,0
2034,練,1,1,8,3
2035,縁,1,1,4,0
2036,縄,1,1,0,0
2037,縛,1,1,3,0
2038,縞,1,0,0,0
2039,縦,1,1,5,6
2040,縫,1,1,3,0
2041,縮,1,1,5,6
2042,績,1,1,6,5
2043,繁,1,1,4,0
2044,繊,1,1,0,0
2045,繋,1,0,0,0
2046,繍,1,0,0,0
2047,織,1,1,6,5
2048,繕,1,1,3,0
2049,繭,1,1,0,0
2050,繰,1,1,4,0
2051,纂,1,0,0,0
2052,纏,1,0,0,0
2053,缶,1,1,0,0
2054,罪,1,1,6,5
2055,罫,1,0,0,0
2056,置,1,1,7,4
2057,罰,1,1,4,0
2058,署,1,1,5,6
2059,罵,1,1,2,0
2060,罷,1,1,0,0
2061,羅,1,1,0,0
2062,羊,1,1,8,3
2063,美,1,1,8,3
2064,群,1,1,6,5
2065,羨,1,1,2,0
2066,義,1,1,6,5
2067,羽,1,1,9,2
2068,翁,1,1,0,0
2069,翌,1,1,5,6
2070,習,1,1,8,3
2071,翠,1,0,0,0
2072,翫,1,0,0,0
2073,翰,1,0,0,0
2074,翻,1,1,3,0
2075,翼,1,1,4,0
2076,耀,1,0,0,0
2077,老,1,1,7,4
2078,考,1,1,9,2
2079,者,1,1,8,3
2080,而,1,0,0,0
2081,耐,1,1,4,0
2082,耕,1,1,6,5
2083,耗,1,1,0,0
2084,耳,1,1,10,1
2085,耶,1,0,0,0
2086,耽,1,0,0,0
2087,聖,1,1,5,6
2088,聞,1,1,9,2
2089,聡,1,0,0,0
2090,聯,1,0,0,0
2091,聴,1,1,3,0
2092,職,1,1,6,5
2093,聾,1,0,0,0
2094,肇,1,0,0,0
2095,肉,1,1,9,2
2096,肋,1,0,0,0
2097,肌,1,1,0,0
2098,肖,1,1,0,0
2099,肘,1,1,2,0
2100,肝,1,1,3,0
2101,股,1,1,2,0
2102,肢,1,1,0,0
2103,肥,1,1,6,5
2104,肩,1,1,4,0
