name,reading,meaning,example
時間,じかん,１ ある時刻と他の時刻との間の長さ。ある長さをもつ時。２ 時の流れの中の、ある一点。時刻。とき。３ 時の長さを数える単位。時(じ)。４ 授業や勤務など、ある一定の区切られた長さの時。５ 哲学で、空間とともにあらゆる事象の最も基底的、普遍的な存在形式。また出来事が継起する形式。過去・現在・未来の三様態をもち、常に一方向に経過し、非可逆的である。近世以降の哲学的時間論では、空間とともに現象を構成する直観の先天的形式（カント）、意識の創造性を担う純粋持続（ベルクソン）、意識における広がりのある今の継起たる現象学的時間（フッサール）など特色あるものが出されている。６ 現象が経過していく前後関係を明示するための変数。古典力学では空間に対する独立した変数と見なされたが、相対性理論では空間とともに四次元の世界をつくるとされる。７ 吉村昭の小説。螢・見えない橋に収録。,201173
次期,じき,次の時期・期間。,2536
磁気,じき,磁力の根源と考えられるもの。一般には磁石どうし、または磁石と電流との相互作用に関する現象。,3811
自棄,じき,自分自身に失望してすてばちになること。やけ。,679
時期,じき,１ 事を行うための期間。ある区切られた時。おり。２ 期間。期限。３ 季節。時節。４ 火成岩の中の同じ鉱物種の二つまたはそれ以上の群が，異なった群で結晶の大きさや形が顕著に異なる場合に用いられる。,61470
時機,じき,何かを行うのによい機会。しおどき。しお。,1405
時季,じき,季節。特に、1年のうち、そのことが盛んに行われたり、そのことに最もふさわしかったりする時期。シーズン。,353
事宜,じぎ,物事の状態・事情。また、事が適当であること。,16
辞義,じぎ,言葉の意味。,17
直直,じきじき,人を介さずに本人が直接にするようす。じか。,7
直書,じきしょ,本人が直接書くこと。また、その文書。自筆。直筆。,33
直訴,じきそ,一定の手続きを経ないで、直接に君主・将軍・天皇などに訴え出ること。直願。越訴(おっそ)。,773
直談,じきだん,他人を介さないで、直接に相手と談判すること。,24
直答,じきとう,他人を介さずに、直接、相手に答えること。また、その場ですぐに答えること。即答。ちょくとう。,15
直納,じきのう,租税・年貢その他、納めるべき金品を、人手を経ずに直接納めること。,5
直判,じきはん,取次人の署名がなく、将軍など差出人が自ら捺印(なついん)したりして下げ渡した書類。,0
直筆,じきひつ,本人自身が直接に筆を取って書くこと。また、その書いたもの。直書。,675
直門,じきもん,師から直接教えを受けること。また、教えを受けた人。,58
自虐,じぎゃく,自分で自分をいじめ苦しめること。,875
自給,じきゅう,必要な物資を、他に求めるのでなく、自力で獲得してまかなうこと。,624
時給,じきゅう,1時間単位で支給される給料。時間給。,304
辞去,じきょ,別れのあいさつをして立ち去ること。,752
持経,じきょう,常に身から離さずに持っていて、読誦(どくじゅ)する経文。法華経をさすことが多い。,33
自供,じきょう,警察官などの取り調べに対し、容疑者・犯人が自己の犯罪事実などを申し述べること。,1191
事業,じぎょう,１ 生産・営利などの一定の目的を持って継続的に、組織・会社・商店などを経営する仕事。２ 大きく社会に貢献するような仕事。,65220
磁極,じきょく,磁石の、鉄を引きつける性能の最も強いところ。,189
時局,じきょく,国家・社会などの、その時の情勢。世の中の成り行き。,858
字句,じく,文章の中の、文字や語句。,520
時空,じくう,１ 時間と空間。２ 時間と通常の空間（ユークリッド空間）の三次元を合わせた四次元のこと。,2529
地口,じぐち,１ 世間でよく使われることわざや成句などに発音の似通った語句を当てて作りかえる言語遊戯。「下戸(げこ)に御飯」（猫に小判）などの類。上方では口合いという。２ 道路に沿った敷地の長さ。また、家屋の間口。,233
自軍,じぐん,自分の所属する軍隊やチーム。,1641
地毛,じげ,かつらなどでなく、本来生えている髪の毛。地髪(じがみ)。,70
字形,じけい,点や線の集まりで構成された文字の形。,1676
自決,じけつ,１ 自分の意志で態度・進退を決めること。２ 自分の手で生命を絶つこと。自殺。自害。,1997
事件,じけん,１ 世間が話題にするような出来事。問題となる出来事。２ 事柄。特に、法令上で扱われる事柄。３ 「訴訟事件」の略。,121787
時限,じげん,１ 時を限ること。また、限りとして定められた時刻。２ 授業などの時間割の単位。時間。多く助数詞的に用いる。,1273
事故,じこ,１ 思いがけず生じた悪い出来事。物事の正常な活動・進行を妨げる不慮の事態。２ 事柄の発生した理由。わけ。子細(しさい)。,34173
自己,じこ,１ おのれ。自分。自身。２ 哲学で、同一性を保持して存在するあるものそれ自身。人格的存在以外にも用いられる。,33332
事後,じご,物事が起こったあと。また、物事が済んだあと。,1289
耳語,じご,口を相手の耳に当てて小声で話すこと。また、その話。耳打ち。,45
事項,じこう,ある物事の中の一つ一つの事柄。,7227
時候,じこう,四季折々の気候。その時々の陽気。,511
時好,じこう,その時その時の、世間一般の好み。その時の流行。,19
次号,じごう,次の号。特に、雑誌などの刊行物の次に発行されるもの。,161
地声,じごえ,１ その人が生まれつき持っている声。持ち前の声。２ 音楽で、裏声に対して、自然な発声法で出す声。,230
時刻,じこく,１ 時の流れにおける、ある瞬間。連続する時間の中のある一点。２ ちょうどよい時。時機。,17606
自在,じざい,１ 心のままであること。思うままになること。また、そのさま。２ 「自在鉤かぎ」の略。３ 仏・菩薩が望むとおりに物事をなしうること。この力を自在力といい、仏・菩薩を自在人という。,4060
自作,じさく,１ 自分で作ること。また、自分で作ったもの。２ 自分の所有する田畑を自分で耕作すること。また、その人。自作農。,4089
地酒,じざけ,その地方でつくられる清酒。特に、灘(なだ)や伏見(ふしみ)を除いた地方のものをさす。,414
自殺,じさつ,自分で自分の命を絶つこと。⇔他殺。,21627
持参,じさん,品物や金銭を持っていくこと。また、持ってくること。,4625
自賛,じさん,１ 自分の絵に自分で賛を書くこと。また、その賛。２ 自分で自分の行為などをほめること。,208
示指,じし,人差し指。,37
時事,じじ,その時々の社会的な出来事。,1203
自失,じしつ,自己を見失ってぼんやりすること。,984
自室,じしつ,自分の部屋。,2804
地質,じしつ,布などの、生地の性質・品質。地合い。,4403
事実,じじつ,１ 実際に起こった事柄。現実に存在する事柄。２ 哲学で、ある時、ある所に経験的所与として見いだされる存在または出来事。論理的必然性をもたず、他のあり方にもなりうるものとして規定される。３ 本当に。実際に。４ 星新一のショートショート作品。かぼちゃの馬車に収録。,81391
自若,じじゃく,重大事に当たっても、落ち着いていて、心や態度に少しの乱れもないさま。,454
自主,じしゅ,他からの干渉や保護を受けず、独立して事を行うこと。,6447
自首,じしゅ,犯罪事実または犯人の発覚する前に、犯人が自ら捜査機関に犯罪事実を申告し、その訴追を求めること。,1134
次週,じしゅう,つぎの週。来週。,143
自習,じしゅう,１ 独力で学習すること。２ 教師が不在のとき、生徒が自分たちだけで勉強すること。,520
自重,じじゅう,１ 自分の体重。２ 船舶・車両・構造物などの、それ自体の重量。,1112
自粛,じしゅく,自分から進んで、行いや態度を慎むこと。,1110
自書,じしょ,自分で書くこと。また、書いたもの。自筆。,68
地所,じしょ,土地。地面。ちしょ。,1335
自序,じじょ,自分の著書に自分で序文を書くこと。また、その序文。,87
事象,じしょう,１ ある事情のもとで、表面に現れた事柄。現実の出来事。現象。２ 数学で、試行の結果起こる事柄。例えば、さいころを投げるという試行の結果からは一から六の目のどれかが出るという事象が起こる。,3076
自傷,じしょう,自分で自分のからだをわざと傷つけること。,341
自称,じしょう,１ 自分から名のること。真偽はともかく、名前・職業・肩書などを自分で称すること。２ 人称の一。一人称。３ 自分で自分を褒めること。,4619
事情,じじょう,１ 物事の状態。２ 物事の表面からはわからない背景や周辺の状態。,36023
辞職,じしょく,今までついていた職を自分からやめること。,5117
慈心,じしん,情け深い心。いつくしみの心。,24
磁針,じしん,磁界の方向を指し示す針状の磁石。中央に支点を置いて、水平に自由に回転する。羅針。,176
自身,じしん,１ 自分みずから。自分。２ 他の何ものでもなくそれみずからの意で、他の語に付けてそれを強調する語。そのもの。自体。,134514
地震,じしん,地球内部の急激な変動による振動が四方に伝わり大地が揺れる現象。,15438
自尽,じじん,自殺すること。,15
自陣,じじん,自分の陣地。味方の陣営。,586
自炊,じすい,１ 自分で食事をつくること。２ 手持ちの書籍や雑誌を裁断・解体し、各ページをイメージスキャナーで読み取り、電子書籍化すること。,487
字数,じすう,文字のかず。じかず。,299
磁性,じせい,物質が磁界内で磁化される性質。また、磁気を帯びた物質が示す種々の性質。,1027
自制,じせい,自分の感情や欲望を抑えること。,1256
辞世,じせい,１ この世に別れを告げること。死ぬこと。２ 死に臨んで残す言葉・詩歌。,494
時世,じせい,時とともに移り変わる、世の中。時代。ときよ。,701
時制,じせい,動詞の表す動作・作用の時間関係を表す文法範疇(はんちゅう)。,458
時勢,じせい,移り変わる時代のようす。世の中の成り行き。時代の趨勢(すうせい)。時流。,1330
事跡,じせき,物事が行われたあと。事件のあと。事実の痕跡(こんせき)。,400
次席,じせき,席次が2番目であること。また、その人。,759
自席,じせき,自分の席。,373
持説,じせつ,ふだんから主張している意見。持論。,37
自説,じせつ,自分の意見・説。,748
時節,じせつ,１ 季節。時候。特に、最適の季節。２ 世の中の情勢。時世。３ よい時機。チャンス。４ 時間。時期。,946
自薦,じせん,自分自身を推薦すること。⇔他薦。,105
自選,じせん,１ 自分の作品の中から自分で選び出すこと。２ 選挙のときに、自分で自分を選ぶこと。,101
事前,じぜん,事の起こる前。事を行う前。,9103
慈善,じぜん,１ あわれみ、たすけること。２ 貧しい人や不幸な人をいたわり救済すること。,2405
次善,じぜん,最善とはいえないが、それに次ぐものであること。セカンドベスト。,176
自訴,じそ,１ 罪を犯した者が自分から名のり出ること。自首。２ みずから訴え出ること。また、その訴訟。,34
自走,じそう,他の動力によらず、自身の動力で走ること。,1543
自足,じそく,１ 自分の置かれた状況に満足すること。２ 必要なものを自分で間に合わせること。,174
時速,じそく,乗り物などの速度を、1時間にそれが進行する距離で表したもの。,2201
持続,じぞく,１ ある状態が保たれること。また、保つこと。中断することなくつづくこと。２ ベルクソンの用語。意識の直接の事実として、何ら反省の加えられぬ直接の時の流れ。,4550
自存,じそん,１ 自分の生存。２ 他の力に頼らず自らの力で生存していくこと。,129
事態,じたい,物事の状態、成り行き。,27226
字体,じたい,１ 一点一画の組み合わせからなる文字の形。定型化された点画の組み合わせ。一つの字でも、字画数の違いによって、正字・俗字・新字・旧字などと区別する。２ 字体を基本とした文字の体裁。漢字の楷書・行書・草書・篆書(てんしょ)・隷書など。活字では、明朝(みんちょう)体・清朝(せいちょう)体・宋朝体などや、欧文でのローマン・イタリックなど。,1534
辞退,じたい,勧められたことを遠慮して断ること。また、自分の既得の地位・権利などを遠慮して放棄すること。,4385
次代,じだい,次の時代。また、次の世代。,1203
地代,じだい,１ 他人の土地を借りた者がその地主に支払う借地料。２ 土地を売買するときの値段。地価(ちか)。,734
時代,じだい,１ 社会構造・政治形態や文化・思想など、ある目安によって区分された、相当の長さの歴史的期間。年代。２ 何かの意味における一定の時の長さ。時勢。３ その当時。当代。特に、現代。４ 人の一生におけるある時期。５ 時がたって古びていること。６ 「時代物」の略。７ 物事のようすが古めかしく感じられるさま。また、古風で大げさなさま。,249073
自宅,じたく,自分の生活の本拠となっている家。自分の家。,17636
示談,じだん,話し合いで決めること。特に、民事上の紛争を裁判によらずに当事者の間で解決すること。,427
自治,じち,１ 自分や自分たちに関することを自らの責任において処理すること。２ 「地方自治」の略。,11403
自著,じちょ,自分が書き著した書物。,1159
次長,じちょう,役所や会社で、長の次の地位にあって、長を補佐する職。また、その職にある人。,2924
自重,じちょう,１ 自らを重んじること。自分の品性を保ち、卑下しないこと。自尊。２ 言動を慎んで、軽はずみなことをしないこと。３ 自分の健康に注意し、大切にすること。自愛。,1112
実意,じつい,１ 言動の裏に隠されている本当の意図。真意。本心。２ 誠意のこもった思いやりの気持ち。まごころ。,78
実印,じついん,あらかじめ市区町村長に届け出て、必要の際には印鑑証明書の交付を受けられるようにしてある印章。,157
実員,じついん,名目だけではない実際の人員。実人員。,17
実益,じつえき,実際の利益。また、実際の役に立つこと。実利。,179
実演,じつえん,１ 人前で実際にやってみせること。２ 俳優や歌手が舞台で劇を演じたり歌ったりすること。映画・テレビ出演に対していう。,1364
実家,じっか,１ 自分の生まれた家。生家。２ 婚姻または養子縁組によって他家にはいった者からみて、その実父母の家。,10517
実害,じつがい,実際上の被害。実質的な損害。,255
実感,じっかん,１ 実際に事物・情景に接したときに得られる感じ。２ 実際に実物に接したように、生き生きと感じること。,6892
実技,じつぎ,実際に行う技術・演技。,949
実教,じっきょう,悟りに達する唯一真実の教え。天台宗では法華経の教えをいう。,35
実況,じっきょう,現実のありのままの姿。実際の状況。,3592
実業,じつぎょう,農業・商業・工業・水産業など、生産・販売に関わる事業。,6321
実系,じっけい,自然の血縁関係の血統。直系と傍系とがある。,0
実検,じっけん,ある事柄が事実かどうか、また本物かどうかを実地に調べること。,102
実権,じっけん,形式的な権力でなく、実際に有している権力。,3425
実験,じっけん,１ 事柄の当否などを確かめるために、実際にやってみること。また、ある理論や仮説で考えられていることが、正しいかどうかなどを実際にためしてみること。２ 実際に経験すること。,30393
