name,reading,meaning,example
雑学,ざつがく,多方面にわたるまとまりのない知識や学問。また、学問とは関係のない雑多な知識。,296
雑感,ざっかん,雑多な感想。まとまりのない思いついたままの感想。とりとめのない感想。,52
雑観,ざっかん,新聞などで、記者がニュース対象から感じた印象や周囲の状況、関係者の反応などを記事にしたもの。,28
雑記,ざっき,いろいろな事柄を書きつけること。また、書きつけたもの。,403
雑技,ざつぎ,１ 民間に行われるさまざまな技芸。特に奈良時代、中国から伝来した曲芸・物まねなどをさすことが多い。雑芸(ぞうげい)。２ 取るに足らない技芸。３ 中国で、奇術や曲芸などを演じるもの。,62
雑居,ざっきょ,１ 種々のものが1か所に入りまじって存在すること。２ 一つの家に多くの家族が居住すること。３ 一つの部屋に何人もが居住すること。４ 同一地域にいろいろな人種が入り交じって居住すること。,1276
雑業,ざつぎょう,種々雑多な仕事や職業。また、一般の職業の分類に入れにくい職業。,10
雑菌,ざっきん,種々雑多な細菌などの微生物。特に、微生物や組織などの培養基中に他から混入した、培養の目的とするもの以外の微生物。,270
雑具,ざつぐ,種々雑多な道具。,39
雑誌,ざっし,１ 雑多な事柄を記載した書物。２ 複数の筆者が書き、定期的に刊行される出版物。週刊・月刊・季刊などがある。マガジン。,38693
雑事,ざつじ,本来の仕事以外のいろいろな用事。取るに足らない雑多な事柄。,391
雑種,ざっしゅ,１ いろいろな種類のものが入りまじっていること。また、そのもの。２ 品種など系統の異なる雌雄の交配によってできた個体。遺伝子に関してヘテロの状態であるもの。,1174
雑書,ざっしょ,１ 図書分類上、どの部門にも入らない書物。雑本。２ 雑多なことを記載した書物。雑本。３ 江戸時代、相性(あいしょう)・開運その他の俗説を記した書物。,96
雑色,ざっしょく,いろいろな色がまじった色。また、さまざまな色。,216
雑食,ざっしょく,植物性のものも動物性のものも食べること。,1036
雑然,ざつぜん,いろいろなものが入り乱れて、まとまりのないさま。,674
雑草,ざっそう,１ 自然に生えるいろいろな草。また、名も知らない雑多な草。２ 農耕地や庭などで、栽培目的の植物以外の草。３ 生命力・生活力が強いことのたとえ。,3933
雑則,ざっそく,本則以外のいろいろな細かい事項についての規則。,3
雑多,ざった,いろいろなものが入りまじっていること。また、そのさま。,1830
雑談,ざつだん,さまざまな内容のことを気楽に話すこと。また、その話。とりとめのない話。,2530
雑踏,ざっとう,多数の人で込み合うこと。人込み。,1556
雑念,ざつねん,気持ちの集中を妨げるいろいろな思い。,350
雑嚢,ざつのう,雑多なものを入れる袋。肩から掛ける布製のかばん。,259
雑費,ざっぴ,主要な用途以外のこまごました費用。一つの部類にまとめられない種々雑多な費用。,63
雑筆,ざっぴつ,雑多なことを書き記すこと。また、その書いたもの。雑記。雑録。,14
雑品,ざっぴん,こまごました、いろいろな品物。,43
雑文,ざつぶん,専門的でない、気軽に書き流した文章。,232
雑務,ざつむ,こまごましたいろいろの用務。ぞうむ。,309
雑用,ざつよう,１ こまごました、いろいろの用事。ぞうよう。２ こまごましたものの費用。雑費。,1201
座標,ざひょう,"点の位置を表す数、または数の組。平面上の点Pの座標は、直交する二直線への距離aとbで表し、P（a,b）と書く。",2543
挫滅,ざめつ,外部から強い衝撃、圧迫を受けて内部の組織が破壊されること。,46
座面,ざめん,椅子の、腰を下ろす部分。,228
座右,ざゆう,１ 座っている所のかたわら。手近な所。身近。ざう。２ 手紙文で、相手を直接さすのをはばかって代わりに用いる語。また、敬意を表す脇付の語。,209
座料,ざりょう,１ 座席代。席料。２ 芸人がその座敷をつとめた料金。,0
笊法,ざるほう,笊の目のように粗く、抜け道がたくさんある不備な法律。,0
座論,ざろん,座して議論すること。座上の論議。また、実行を伴わない口先だけの議論。,0
残骸,ざんがい,１ 戦場や災害地などにそのまま残された死体。２ 原形をとどめないほどに破壊された状態で残っているもの。,3988
残額,ざんがく,残りの数量または金額。残(ざん)。,332
残寒,ざんかん,寒(かん)が明けても残る寒さ。余寒。,0
慙愧,ざんき,自分の見苦しさや過ちを反省して、心に深く恥じること。,93
残虐,ざんぎゃく,人や生き物に対してする行為のむごたらしいこと。また、そのさま。,2440
残響,ざんきょう,音源が振動をやめたあとも、天井や壁などからの反射が繰り返されて、音が引き続き聞こえる現象。,407
残業,ざんぎょう,規定の勤務時間を過ぎてからも残って仕事をすること。また、その仕事。超過勤務。,1083
残金,ざんきん,１ 支出後に手もとに残った金。２ 支払うべき金額の未払い分。,211
讒言,ざんげん,事実を曲げたり、ありもしない事柄を作り上げたりして、その人のことを目上の人に悪く言うこと。,899
残光,ざんこう,消え残っている光。多く、日没後なお空に残っている光をいう。,249
残香,ざんこう,あとに残っている香。うつり香。残り香。,14
塹壕,ざんごう,１ 戦場で、歩兵が敵弾を避けるために作る防御施設。溝を掘り、前方に掘った土や土嚢(どのう)を積み上げたもの。２ 城やとりでの周囲の堀。,1761
残酷,ざんこく,無慈悲でむごたらしいこと。まともに見ていられないようなひどいやり方のさま。,5985
残痕,ざんこん,残っている跡。痕跡。,2
惨殺,ざんさつ,むごたらしい方法で殺すこと。,1222
斬殺,ざんさつ,人をきり殺すこと。,614
惨死,ざんし,むごたらしく死ぬこと。さんし。,162
残滓,ざんし,残りかす。,620
暫時,ざんじ,少しの間。しばらく。副詞的にも用いる。,627
斬首,ざんしゅ,首をきること。首をきる刑。また、きったその首。,1441
残暑,ざんしょ,立秋を過ぎてもなお残る暑さ。,555
斬新,ざんしん,趣向や発想などがきわだって新しいさま。,1923
讒訴,ざんそ,１ 他人をおとしいれようとして、事実を曲げて言いつけること。２ 陰で人の悪口を言うこと。陰口。,151
残像,ざんぞう,外部刺激がやんだあとにも残る感覚興奮のこと。主として視覚についていう。,812
残存,ざんそん,なくならないで残っていること。同類の多くがなくなったあとも、なお残っていること。,4500
残高,ざんだか,収支または貸借の差し引き計算をして残った金額。残金。,880
残置,ざんち,残しておくこと。,162
暫定,ざんてい,正式な決定がなされるまで、仮の措置として、とりあえず定めること。,4908
残土,ざんど,土木工事などで出る不要な土。,116
残党,ざんとう,１ 敵に敗れた一党のうちで、わずかに生き残っている者たち。２ 一時期勢力をもっていて、のちに弱体化した集団などの生き残り。,2073
残尿,ざんにょう,排尿後に、なお膀胱(ぼうこう)内に残っている尿。,24
残忍,ざんにん,無慈悲なことを平気ですること。また、そのさま。,3123
残念,ざんねん,１ もの足りなく感じること。あきらめきれないこと。また、そのさま。２ 悔しく思うこと。また、そのさま。無念。,11994
惨敗,ざんぱい,ひどい負け方をすること。さんぱい。,1752
残飯,ざんぱん,食べ残しのめし・料理。,588
残品,ざんぴん,売れ残った品物。,14
残物,ざんぶつ,のこりもの。あまりもの。,34
残片,ざんぺん,のこったきれはし。,51
讒謗,ざんぼう,人をあしざまに言うこと。,95
残務,ざんむ,未処理で残った事務。,223
残夢,ざんむ,明け方に、うとうとと見ている夢。目が覚めてもなお夢心地でいること。,38
残余,ざんよ,のこり。あまり。,545
残留,ざんりゅう,残りとどまること。なくならずに残っていること。,4448
在院,ざいいん,病院など「院」と名のつく所にいること。入院していること。,42
在営,ざいえい,兵営の中にいること。軍務に服していること。また、その期間。,32
在役,ざいえき,１ 懲役・兵役などに服していること。２ 任務に就いていること。,13
在園,ざいえん,保育園・幼稚園など「園」と呼ばれる施設に在籍していること。,11
在欧,ざいおう,欧州（ヨーロッパ）に滞在・駐在すること。,65
在荷,ざいか,商店・倉庫・工場などに貨物や商品があること。また、その貨物や商品。在庫品。,2
罪科,ざいか,１ 法律や道徳、また、宗教などのおきてに背いた罪。２ 法律により処罰すること。しおき。,256
罪過,ざいか,法律や道徳に背いた行い。つみ。あやまち。罪悪。,140
罪魁,ざいかい,犯罪者のかしら。悪事の張本人。,0
在方,ざいかた,いなか。在所。在。,94
在監,ざいかん,刑務所や拘置所などの刑事施設に収容され、身柄を拘束されていること。監獄法の改廃に伴い、現在は「収容」などの語が用いられる。,14
罪咎,ざいきゅう,つみととが。罪科。,24
在京,ざいきょう,都に滞在・居住していること。古くは京都、現在では東京に滞在・居住していること。,1161
剤形,ざいけい,医薬品を投与方法に適した、錠剤・軟膏(なんこう)剤・エキス剤などにすること。,42
罪業,ざいごう,仏語。罪となる悪い行い。,315
在国,ざいこく,１ 都にではなく故郷にいること。在郷(ざいきょう)。２ 江戸時代、大名やその家臣が自分の領国にいること。,228
在獄,ざいごく,捕らわれて獄にいること。,0
罪質,ざいしつ,犯した罪の中身や度合い。,16
在社,ざいしゃ,１ 会社の中にいること。２ その会社に在職していること。,76
罪種,ざいしゅ,犯罪の種類。,0
罪囚,ざいしゅう,獄舎につながれた罪人。めしゅうど。囚人。囚徒。,39
罪証,ざいしょう,犯罪の証拠。,38
財相,ざいしょう,財務大臣のこと。,13
罪数,ざいすう,ある一連の犯行による罪の数。,0
在世,ざいせ,１ 世に生きていること。ざいせい。２ 釈迦が生存していたとき。,557
材積,ざいせき,木材・石材などの体積。,7
罪責,ざいせき,罪を犯した責任。,43
在線,ざいせん,ある線路区間に列車が存在すること。,77
在俗,ざいぞく,出家しないで俗人の状態でいること。また、その人。在家(ざいけ)。,122
在隊,ざいたい,軍隊に籍のあること。,40
罪体,ざいたい,犯罪が行われた物体。殺人罪における死体、放火罪における焼失した家屋など。,0
在庁,ざいちょう,１ 官庁に勤めていること。２ 出勤して役所にいること。,300
在朝,ざいちょう,朝廷に仕えていること。また、官職についていること。,19
在天,ざいてん,神・霊魂などが天上にあること。,73
在島,ざいとう,島に滞在し、または住んでいること。,17
財投,ざいとう,国が政策目的を推進するため、財政政策の一環として行う投資および融資。社会資本整備や政策金融などの分野に投入される。毎年度、財政投融資計画にまとめられ、財政融資資金・産業投資特別会計・政府保証債および政府保証借入金を原資として、特別会計・政府金融機関・独立行政法人・特殊会社・地方公共団体などが運用対象になっている。また、財政融資資金による国債引き受けも財政投融資に含まれる。,23
財嚢,ざいのう,１ 金銭を入れる袋。財布。２ 持ち金(がね)のすべて。また、金銭。,37
財閥,ざいばつ,１ 第二次大戦前の日本で、コンツェルンの形態をとり、同族の閉鎖的な所有・支配のもとに、持株会社を中核として多角的経営を行っていた独占的巨大企業集団。三井・三菱・住友・安田など。２ 金持ちのこと。,2669
在判,ざいはん,１ 古文書の写しなどで、原本のほうにはここに花押(かおう)が書かれているということを示す語。ありはん。２ 茶の湯で、香合、水指など茶器に、朱漆などで花押や署名が直書してあること。３ 花押を書くこと。または印を押すこと。,0
在米,ざいべい,他国の人がアメリカに滞在、または居住していること。,226
在名,ざいみょう,１ 在所の名。ざいめい。２ 住む土地の名をとってつけた名前。ざいめい。,111
在銘,ざいめい,刀剣・器物などに、その作者の名が記してあること。有銘。,82
財用,ざいよう,１ 財貨の用途。２ もとで。費用。,13
罪累,ざいるい,１ 罪のまきぞえになること。連座。２ 罪を重ねること。,0
罪例,ざいれい,犯罪の実例。,0
座五,ざご,俳句で、末の5文字。下(しも)五。,0
座功,ざこう,連歌などの興行や一座に参加して経験を積むこと。,0
挫骨,ざこつ,骨をくじくこと。また、くじいた骨。,3
座所,ざしょ,貴人などの座のある場所。御座所。,83
座主,ざす,１ 学・徳ともにすぐれた一座の上首。２ 大寺を統括する首席の僧職。延暦寺の天台座主に始まり、金剛峰寺・醍醐寺などで官命によって任ぜられたが、明治以後は私称。,304
座前,ざぜん,１ 座席のまえ。２ 手紙で、あて名の脇付(わきづけ)に用いて敬意を表す語。,0
挫創,ざそう,鈍体による打撃や圧迫によって生じる損傷で、皮膚が断裂し傷口が開いた状態をいう。傷口がないものは挫傷という。打撲創。,28
座談,ざだん,１ すわって気楽に話し合うこと。２ その場だけの話。,1461
座中,ざちゅう,１ 会合している一座の中。また、その一座。２ 芸能の一座の仲間。,122
雑詠,ざつえい,詩歌や俳句で、特に題をきめず、自由な題材で詠むこと。また、その作品。,30
雑楽,ざつがく,雅楽以外の種々の音楽の総称。,5
雑株,ざつかぶ,主要銘柄以外のいろいろな株式。人気の薄い株式。,0
雑器,ざっき,１ 雑多な器物。２ 神棚に供える供物を盛る小さな木皿(きざら)。,160
雑曲,ざっきょく,１ 雅楽以外のいろいろな音曲。２ 民間のはやりうた。流行歌。俗曲。,4
雑劇,ざつげき,１ 中国、宋代に始まる演劇の形態の名。時代により、その内容が異なる。宋代では滑稽風刺劇、元代では歌劇である元曲、明・清代では新形式の短編劇をいう。２ 日本で、能・狂言・舞楽などに対し、通俗的な演劇・演芸。,86
雑件,ざっけん,こまごまとしたいろいろな事件や用件。,15
雑犬,ざっけん,雑種の犬。,13
雑交,ざっこう,１ いりまじること。２ 遺伝的に異なる系統・品種などの間で交配を行うこと。,29
雑考,ざっこう,系統だっていない、種々の考察や考証。,14
雑穀,ざっこく,米・麦以外の穀類の総称。豆やそば・黍(きび)・粟(あわ)など。,442
雑言,ざつごん,漢詩で、各句の字数が一定していない詩体。雑体。,677
雑載,ざっさい,新聞・雑誌などに雑多な細かい記事をのせること。また、その欄。,0
雑纂,ざっさん,雑多な記録や文章を集めること。また、そのように編集した書物。,20
雑紙,ざっし,雑用紙。また、鼻をかんだりするのに使う下級の紙。鼻紙。ぞうし。,5
雑酒,ざっしゅ,酒税法上、清酒・合成清酒・焼酎(しょうちゅう)・みりん・ビール・果実酒類・ウイスキー類・スピリッツ類・リキュール類に属さない酒類。発泡酒の類。,9
雑税,ざつぜい,基本的な租税以外の種々の税。,27
雑節,ざっせつ,二十四節気以外に、季節の変化の目安とする特定の日の総称。節分・八十八夜・入梅・半夏生(はんげしょう)・二百十日・土用・彼岸など。,23
雑説,ざっせつ,いろいろな説。さまざまな意見。,22
雑訴,ざっそ,いろいろの訴訟。,81
雑卒,ざっそつ,身分の低い兵士。雑兵(ぞうひょう)。,0
雑損,ざっそん,１ 特定の勘定科目に該当しない損失。２ 所得税の控除対象となる、災害・盗難または横領による一時的な損失。,5
雑題,ざつだい,１ 雑多な種類の問題・題目。２ どの部類にも入らない問題・題目。,0
雑著,ざっちょ,１ いろいろな事柄を書き集めた書物。２ 書物の分類上、どの部類にも入らない書物。,13
雑読,ざつどく,特別の目的もなく、いろいろの本を読むこと。,0
雑肉,ざつにく,１ ひき肉などに用いる固い部分の肉。２ 牛肉・豚肉・鳥肉以外の、食用にする獣肉。馬肉など,0
雑俳,ざっぱい,本格的な俳諧に対して、雑多な形式と内容をもつ遊戯的な俳諧の総称。江戸中期に流行。前句付け・冠(かむり)付け・折句(おりく)・沓(くつ)付け・川柳など。ぞうはい。,41
雑輩,ざっぱい,取るに足らない人物。小者(こもの)。,8
雑駁,ざっぱく,雑然として統一がないこと。また、そのさま。,127
雑兵,ざっぴょう,１ 身分の低い兵士。歩卒。ざっぴょう。２ 取るに足りない者。下っ端。,538
雑物,ざつぶつ,種々雑多なもの。こまごまとした日用の品物にいう。,85
雑粉,ざっぷん,小麦粉以外の穀類の粉。,0
雑報,ざっぽう,１ 種々雑多な、細かい出来事の報告。２ 新聞の社会面の記事。,101
雑本,ざっぽん,どの分類にも入らない種々雑多な本。また、雑多な内容のつまらない本。雑書。,7
雑味,ざつみ,飲食物のなかに入りまじって、本来の味を損なう味。特に、日本酒の味にいう。,47
雑慮,ざつりょ,あれこれと心に浮かぶ、とりとめもない思い。雑念。,0
雑録,ざつろく,種々雑多な事柄を系統立てずに記録すること。また、その記録。,82
雑話,ざつわ,さまざまな事柄をまとまりもなく話すこと。また、その話。,65
座配,ざはい,１ 座席を割り当てること。座の順序。２ 一座のとりなし。座もち。,31
座箒,ざぼうき,茶席の畳を掃くのに用いる羽箒(はぼうき)。鶴・白鳥などの片羽で作る。,0
座星,ざぼし,兜(かぶと)の鉢に打った鋲(びょう)に座金を据えたもの。,0
座間,ざま,神奈川県中北部の市。もと八王子街道の宿場町・市場町。昭和12年（1937）陸軍士官学校が東京から移転。第二次大戦後は米軍基地となる。,467
粗目,ざらめ,１ 一粒一粒が大きい砂糖。純度が高い。２ ざらめ糖のように大粒の積雪。新雪が日中とけ、夜間に凍ることを繰り返してできる。３ かき氷に無色の砂糖シロップをかけたもの。みぞれ。,17
笊貝,ざるがい,ザルガイ科の二枚貝。浅海の砂底にすむ。殻長7センチほど。殻表には約40本の太い放射肋(ほうしゃろく)があり、黄褐色の地に赤褐色の雲状斑がある。房総以南に分布。食用。,0
笊碁,ざるご,打ち方のへたな碁。ざる。,3
笊耳,ざるみみ,何を聞いてもすぐ忘れてしまうこと。また、そのような人。かご耳。,0
残影,ざんえい,おもかげ。,66
残映,ざんえい,１ 暮れ残った日の光。夕ばえ。２ 消えていったもののなごり。,31
残火,ざんか,１ 燃え残りの火。残り火。２ 暁の茶事のとき、前夜からの灯籠(とうろう)の灯が、かすかに露地を照らしていること。残灯。,14
残花,ざんか,１ 散り残っている花。２ 春の末のころに咲き残っている桜の花。残る花。名残の花。,14
巉巌,ざんがん,切り立った険しいがけ。高くそびえた岩。,0
残基,ざんき,たんぱく質・核酸・多糖類などの重合体を構成している単量体。多数のアミノ酸がペプチド結合したたんぱく質の分子上で、もとのアミノ酸にあたる部分をアミノ酸残基という,518
残菊,ざんぎく,重陽の節句を過ぎたあとの菊。また、晩秋・初冬まで咲き残っている菊の花。残る菊。,24
残丘,ざんきゅう,浸食から取り残されて、準平原の上に孤立する一段高い丘陵。モナドノック。,57
懺悔,ざんげ,１ 神仏の前で罪悪を告白し悔い改めること。２ キリスト教会一般では、罪を告白し、神の許しを請うこと。カトリック教会では「悔悛(かいしゅん)の秘跡」の俗称。３ 自分の罪を悔いて他人に告白すること。,1661
残月,ざんげつ,明け方まで空に残っている月。有明の月。のこんの月。,86
残更,ざんこう,夜明け方。五更。,0
残肴,ざんこう,食べ残しのさかな。酒宴の残りもの。,34
残渣,ざんさ,濾過(ろか)したあとなどに残ったかす。,169
斬罪,ざんざい,首をきる刑罰。うちくび。,237
残照,ざんしょう,日が沈んでからも雲などに照り映えて残っている光。夕日の光。残光。,309
残燭,ざんしょく,消え残りの灯火。明け方になっても消えずにいる灯火。,4
残心,ざんしん,１ 心をあとに残すこと。心残り。未練。２ 武芸で、一つの動作を終えたあとでも緊張を持続する心構えをいう語。剣道で、打ち込んだあと相手の反撃に備える心の構え。弓道で、矢を射たあとの反応を見きわめる心の構え。,100
残雪,ざんせつ,消え残った雪。特に、春になっても消えないで残っている雪。,435
残敵,ざんてき,残りの敵。討ちもらした敵兵。,86
残徒,ざんと,滅ぼされずに残った徒党。残党。,0
残灯,ざんとう,消え残っている灯火。残燭(ざんしょく)。,6
残部,ざんぶ,１ 残りの部分。２ 書籍などの売れ残りの部数。,163
残兵,ざんぺい,戦闘後に生き残った兵。,192
残本,ざんぽん,１ 売れ残った本。２ 多くが散逸した書物の、のこっている部分。,0
三昧,ざんまい,１ ともすればその傾向になるという意を表す。２ そのことに熱中するという意を表す。３ 心のままにするという意を表す。,1155
残量,ざんりょう,使って残った分量。,366
残塁,ざんるい,１ 攻め落とされないで残っているとりで。２ 野球で、スリーアウトになってその回の攻撃が終了したとき、走者が塁に残っていること。,42
慈愛,じあい,親が子供をいつくしみ、かわいがるような、深い愛情。,1013
自愛,じあい,１ 自分を大切にすること。自分の健康状態に気をつけること。２ 自分の言行を慎むこと。自重。３ 自分の利益を大事にすること。利己。４ 倫理学で、自己保存の本能に基づいて、自己の幸福を求める自然的性向。５ 物を大事にすること。珍重すること。,151
事案,じあん,問題になっている事柄。,899
辞意,じい,１ 言葉の意味。２ 辞退・辞職したいという気持ち。,347
慈雨,じう,万物を潤し育てる雨。また、日照り続きの時に降る雨。恵みの雨。,80
自運,じうん,書道で、自分の創意でもって自由に筆を運ぶこと。また、そうして書いたもの。,4
自営,じえい,自分の力で事業を経営すること。,233
自益,じえき,個人の利益。自分の利益。,9
自演,じえん,自作の映画や劇に、自分が出演すること。,430
磁化,じか,１ 磁界内に置かれた物体が磁気を帯びた状態になること。また、その強さ。帯磁。２ 陶磁器の生地が溶けてガラス状になること。,355
時下,じか,このごろ。当節。目下(もっか)。多く手紙の冒頭のあいさつに用いる。,43
時価,じか,その時の商品としての価格。,634
自画,じが,１ 自分で描くこと。また、その絵。２ 自分を描いたり写真に撮ったりすること。また、その絵や写真。,614
次回,じかい,繰り返して、また定期的に行われる物事の、次の回。次の時。,2589
自壊,じかい,外部からの働きによらずみずから壊れること。,181
自戒,じかい,自分の言動を自分でいましめ慎むこと。,338
自害,じがい,自分で自分のからだを傷つけて死ぬこと。自刃(じじん)。自殺。,2719
自覚,じかく,１ 自分の置かれている位置・状態、また、自分の価値・能力などをはっきり知ること。２ 仏語。自ら迷いを断って悟りを開くこと。,9930
自活,じかつ,人の援助を受けないで、自分の力で生活すること。,502
地金,じがね,１ めっきの下地や、加工の材料となる金属。じきん。２ 生まれつきの性質。本性。主として悪い意味で使う。,460
直箸,じかばし,盛り合わせにした料理などを、取り箸を使わずに、自分の箸で直接皿から取ること。,9
直火,じかび,直接に火に当てること。また、その火。,143
