unicode,character
U+54c8,哈
U+54a8,咨
U+54ab,咫
U+54c2,哂
U+54a4,咤
U+54e5,哥
U+54e6,哦
U+550f,唏
U+5514,唔
U+54fd,哽
U+54ee,哮
U+54ed,哭
U+54e2,哢
U+5539,唹
U+5540,啀
U+5563,啣
U+552e,售
U+555c,啜
U+5545,啅
U+5556,啖
U+5557,啗
U+5538,唸
U+5533,唳
U+5599,喙
U+5580,喀
U+558a,喊
U+559f,喟
U+557b,啻
U+557e,啾
U+5598,喘
U+559e,喞
U+557c,啼
U+5583,喃
U+5587,喇
U+55a8,喨
U+55da,嗚
U+55df,嗟
U+55c4,嗄
U+55dc,嗜
U+55e4,嗤
U+55d4,嗔
U+5614,嘔
U+55f7,嗷
U+5616,嘖
U+55fe,嗾
U+55fd,嗽
U+561b,嘛
U+564e,噎
U+5634,嘴
U+5636,嘶
U+5638,嘸
U+566b,噫
U+5664,噤
U+562f,嘯
U+566c,噬
U+566a,噪
U+5686,嚆
U+5680,嚀
U+568a,嚊
U+56a0,嚠
U+5694,嚔
U+568f,嚏
U+56a5,嚥
U+56ae,嚮
U+56b6,嚶
U+56c2,囂
U+56bc,嚼
U+56c1,囁
U+56c3,囃
U+56c0,囀
U+56c8,囈
U+56d3,囓
U+56ee,囮
U+56f9,囹
U+5700,圀
U+56ff,囿
U+5704,圄
U+5709,圉
U+55c7,嗇
U+571c,圜
U+5726,圦
U+574e,坎
U+573b,圻
U+5740,址
U+574f,坏
U+5769,坩
U+5761,坡
U+577f,坿
U+5793,垓
U+57a0,垠
U+57a4,垤
U+57c3,埃
U+57c6,埆
U+57d2,埒
U+580a,堊
U+580b,堋
U+5819,堙
U+581d,堝
U+5821,堡
U+584b,塋
U+5852,塒
U+583d,堽
U+5879,塹
U+5885,墅
U+589f,墟
U+58c5,壅
U+58d1,壑
U+58d9,壙
U+58dc,壜
U+58df,壟
U+58fc,壼
U+5910,夐
U+5925,夥
U+592c,夬
U+592d,夭
U+5932,夲
U+5938,夸
U+593e,夾
U+5955,奕
U+5950,奐
U+594e,奎
U+595a,奚
U+5958,奘
U+5962,奢
U+5960,奠
U+5978,奸
U+5981,妁
U+599d,妝
U+4f5e,佞
U+59a3,妣
U+59b2,妲
U+59c6,姆
U+59e8,姨
U+59dc,姜
U+598d,妍
U+59d9,姙
U+59da,姚
U+5a25,娥
U+5a1f,娟
U+5a11,娑
U+5a1c,娜
U+5a09,娉
U+5a40,婀
U+5a6c,婬
U+5a49,婉
U+5a35,娵
U+5a36,娶
U+5a62,婢
U+5a6a,婪
U+5a9a,媚
U+5abc,媼
U+5abe,媾
U+5acb,嫋
U+5ac2,嫂
U+5abd,媽
U+5ae3,嫣
U+5ad7,嫗
U+5ae6,嫦
U+5ae9,嫩
U+5ad6,嫖
U+5afa,嫺
U+5afb,嫻
U+5b0c,嬌
U+5b0b,嬋
U+5b16,嬖
U+5b32,嬲
U+5b2a,嬪
U+5b36,嬶
U+5b3e,嬾
U+5b45,孅
U+5b40,孀
U+5b51,孑
U+5b55,孕
U+5b5a,孚
U+5b5b,孛
U+5b65,孥
U+5b69,孩
U+5b70,孰
U+5b73,孳
U+5b75,孵
U+5b7a,孺
U+5ba6,宦
U+5bb8,宸
U+5bc7,寇
U+5bd4,寔
U+5bd0,寐
U+5be4,寤
U+5bde,寞
U+5be5,寥
U+5bf0,寰
U+5c20,尠
U+5c28,尨
U+5c38,尸
U+5c39,尹
U+5c41,屁
U+5c4e,屎
U+5c53,屓
U+5c4f,屏
U+5b71,孱
U+5c6e,屮
U+5c76,屶
U+5c79,屹
U+5c8c,岌
U+5c91,岑
U+5c94,岔
U+5cab,岫
U+5cd9,峙
U+5ced,峭
U+5cea,峪
U+5d1f,崟
U+5d1b,崛
U+5d11,崑
U+5d14,崔
U+5d22,崢
U+5d1a,崚
U+5d19,崙
U+5d18,崘
U+5d4c,嵌
U+5d52,嵒
U+5d4e,嵎
U+5d4b,嵋
U+5d6c,嵬
U+5d87,嶇
U+5d84,嶄
U+5d82,嶂
U+5da2,嶢
U+5d9d,嶝
U+5dac,嶬
U+5dae,嶮
U+5db7,嶷
U+5dbc,嶼
U+5dc9,巉
U+5dcd,巍
U+5dd3,巓
U+5dd2,巒
U+5deb,巫
U+5df2,已
U+5e1a,帚
U+5e19,帙
U+5e11,帑
U+5e1b,帛
U+5e37,帷
U+5e44,幄
U+5e43,幃
U+5e40,幀
U+5e4e,幎
U+5e57,幗
U+5e54,幔
U+5e5f,幟
U+5e62,幢
U+5e47,幇
U+5e75,幵
U+5e76,并
U+5e7a,幺
U+9ebc,麼
U+5ea0,庠
U+5ec1,廁
U+5ec2,廂
U+5ec8,廈
U+5ed6,廖
U+5edd,廝
U+5edb,廛
U+5ee1,廡
U+5ee8,廨
U+5ee9,廩
U+5eec,廬
U+5ef1,廱
U+5ef8,廸
U+5f5d,彝
U+5f5c,彜
U+5f0b,弋
U+5f11,弑
U+5f16,弖
U+5f29,弩
U+5f2d,弭
U+5f38,弸
U+5f4e,彎
U+5f2f,弯
U+5f57,彗
U+5f6d,彭
U+5f77,彷
U+5f82,徂
U+5f7f,彿
U+5f8a,徊
U+5f88,很
U+5f87,徇
U+5f99,徙
U+5f98,徘
U+5fa8,徨
U+5fad,徭
U+5fbc,徼
U+5fd6,忖
U+5ffb,忻
U+5fe4,忤
U+5ff8,忸
U+5ff1,忱
U+5fdd,忝
U+5fff,忿
U+6021,怡
U+6019,怙
U+6029,怩
U+600e,怎
U+6031,怱
U+601b,怛
U+6015,怕
U+602b,怫
U+6026,怦
U+600f,怏
U+603a,怺
U+605a,恚
U+6041,恁
U+606a,恪
U+605f,恟
U+604a,恊
U+604d,恍
U+6043,恃
U+6064,恤
U+6042,恂
U+606c,恬
U+606b,恫
U+6059,恙
U+6081,悁
U+608d,悍
U+6083,悃
U+609a,悚
U+6084,悄
U+609b,悛
U+6096,悖
U+6092,悒
U+60a7,悧
U+608b,悋
U+60b8,悸
U+60d3,惓
U+60b4,悴
U+5ff0,忰
U+60bd,悽
U+60c6,惆
U+60b5,悵
U+60d8,惘
U+614d,慍
U+6115,愕
U+6106,愆
U+60f6,惶
U+60f7,惷
U+6100,愀
U+60f4,惴
U+60fa,惺
U+6103,愃
U+60fb,惻
U+610d,愍
U+610e,愎
U+6147,慇
U+613e,愾
U+6128,愨
U+6127,愧
U+614a,慊
U+613f,愿
U+612c,愬
U+6134,愴
U+6142,慂
U+6173,慳
U+6177,慷
U+6159,慙
U+615a,慚
U+616b,慫
U+6174,慴
U+6165,慥
U+615f,慟
U+615d,慝
U+6153,慓
U+6175,慵
U+6196,憖
U+6194,憔
U+619a,憚
U+618a,憊
U+6191,憑
U+61ab,憫
U+61ae,憮
U+61cc,懌
U+61ca,懊
U+61c8,懈
U+61c3,懃
U+61c6,懆
U+61ba,憺
U+61cb,懋
U+7f79,罹
U+61cd,懍
U+61e6,懦
U+61e3,懣
U+61f6,懶
U+61fa,懺
U+61f4,懴
U+61ff,懿
U+61fd,懽
U+61fc,懼
U+61fe,懾
U+6208,戈
U+6209,戉
U+620d,戍
U+620c,戌
U+6214,戔
U+621b,戛
U+621e,戞
U+6221,戡
U+622a,截
U+622e,戮
U+6233,戳
U+6241,扁
U+624e,扎
U+625e,扞
U+6263,扣
U+625b,扛
U+6260,扠
U+6268,扨
U+627c,扼
U+6289,抉
U+627e,找
U+6292,抒
U+6293,抓
U+6296,抖
U+6283,抃
U+6294,抔
U+62d7,拗
U+62d1,拑
U+62bb,抻
U+62cf,拏
U+62ff,拿
U+62c6,拆
U+62c8,拈
U+62cc,拌
U+62ca,拊
U+62c7,拇
U+629b,抛
U+630c,挌
U+62ee,拮
U+62f1,拱
U+6302,挂
U+6308,挈
U+62ef,拯
U+62f5,拵
U+6350,捐
U+634d,捍
U+634f,捏
U+6396,掖
U+638e,掎
U+6380,掀
U+63ab,掫
U+6376,捶
U+63a3,掣
U+638f,掏
U+6389,掉
U+639f,掟
U+636b,捫
U+6369,捩
U+63be,掾
U+63e9,揩
U+63c0,揀
U+63c6,揆
U+63e3,揣
U+63c9,揉
U+63f6,揶
U+63c4,揄
U+6434,搴
U+6406,搆
U+6413,搓
U+6426,搦
U+6436,搶
U+6417,搗
U+6428,搨
U+640f,搏
U+6467,摧
U+6476,摶
U+644e,摎
U+6495,撕
U+6493,撓
U+64a5,撥
U+64a9,撩
U+6488,撈
U+64bc,撼
U+64d2,擒
U+64c5,擅
U+64bb,撻
U+64d8,擘
U+64c2,擂
U+64f1,擱
U+64e0,擠
U+64e1,擡
U+62ac,抬
U+64e3,擣
U+64ef,擯
U+652c,攬
U+64f2,擲
U+64fa,擺
U+6500,攀
U+64fd,擽
U+6518,攘
U+6505,攅
U+6524,攤
U+6523,攣
U+652b,攫
U+754b,畋
U+6556,敖
U+655e,敞
U+655d,敝
U+6572,敲
U+6582,斂
U+6583,斃
U+659b,斛
U+659f,斟
U+65ab,斫
U+65c3,旃
U+65c6,旆
U+65c1,旁
U+65c4,旄
U+65cc,旌
U+65d2,旒
U+65db,旛
U+65f1,旱
U+6772,杲
U+660a,昊
U+6603,昃
U+65fb,旻
U+6773,杳
U+6635,昵
U+6636,昶
U+6634,昴
U+661c,昜
U+664f,晏
U+6641,晁
U+665e,晞
U+6664,晤
U+6667,晧
U+6668,晨
U+665f,晟
U+6662,晢
U+6670,晰
U+6688,暈
U+6689,暉
U+6684,暄
U+6698,暘
U+669d,暝
U+66c1,曁
U+66b9,暹
U+66be,暾
U+66c4,曄
U+66da,曚
U+66e0,曠
U+663f,昿
U+66e6,曦
U+66e9,曩
U+66f0,曰
U+66f7,曷
U+670f,朏
U+671e,朞
U+6726,朦
U+6727,朧
U+9738,霸
U+672e,朮
U+673f,朿
U+6736,朶
U+6738,朸
U+6746,杆
U+675e,杞
U+6760,杠
U+6759,杙
U+6763,杣
U+6789,枉
U+677c,杼
U+676a,杪
U+678c,枌
U+678b,枋
U+67a1,枡
U+6785,枅
U+67b7,枷
U+67ef,柯
U+67b4,枴
U+67ec,柬
U+67b3,枳
U+67e9,柩
U+67b8,枸
U+67e4,柤
U+67de,柞
U+67dd,柝
U+67e2,柢
U+67ee,柮
U+67b9,枹
U+67ce,柎
U+681e,栞
U+6846,框
U+6829,栩
U+6840,桀
U+6832,栲
U+684e,桎
U+68b3,梳
U+682b,栫
U+6859,桙
U+6877,桷
U+687f,桿
U+689f,梟
U+688f,梏
U+68ad,梭
U+6894,梔
U+689b,梛
U+6883,梃
U+6874,桴
U+68b5,梵
U+68a0,梠
U+68ba,梺
U+690f,椏
U+6901,椁
U+68ca,棊
U+6908,椈
U+68d8,棘
U+68cd,棍
U+68d5,棕
U+6936,椶
U+6912,椒
U+6904,椄
U+68d7,棗
U+68e3,棣
U+68f9,棹
U+68e0,棠
U+691a,椚
U+6979,楹
U+6978,楸
U+696b,楫
U+6954,楔
U+697e,楾
U+696e,楮
U+6939,椹
U+693d,椽
U+6930,椰
U+6961,楡
U+695e,楞
U+695d,楝
U+6981,榁
U+69d0,槐
U+69c1,槁
U+69d3,槓
U+69be,榾
U+69ce,槎
U+5be8,寨
U+69ca,槊
U+69bb,榻
U+69c3,槃
U+69a7,榧
U+6991,榑
U+699c,榜
U+6995,榕
U+69b4,榴
U+69e8,槨
U+6a1b,樛
U+69ff,槿
U+69f9,槹
U+69f2,槲
U+69e7,槧
U+6a05,樅
U+69b1,榱
U+69ed,槭
U+6a14,樔
U+6a0a,樊
U+6a12,樒
U+6ac1,櫁
U+6a44,橄
U+6a47,橇
U+6a59,橙
U+6a66,橦
U+6a48,橈
U+6a38,樸
U+6a90,檐
U+6aa0,檠
U+6a84,檄
U+6aa3,檣
U+6a97,檗
U+8617,蘗
U+6abb,檻
U+6ac3,櫃
U+6ac2,櫂
U+6ab8,檸
U+6ab3,檳
U+6aac,檬
U+6adf,櫟
U+6aaa,檪
U+6ada,櫚
U+6aea,櫪
U+6b05,欅
U+8616,蘖
U+6afa,櫺
U+6b12,欒
U+6b16,欖
U+6b38,欸
U+6b37,欷
U+6b39,欹
U+6b47,歇
U+6b43,歃
U+6b49,歉
U+6b59,歙
U+6b54,歔
U+6b5b,歛
U+6b5f,歟
U+6b7f,歿
U+6b80,殀
U+6b84,殄
U+6b83,殃
U+6b8d,殍
U+6b9e,殞
U+6ba4,殤
U+6baa,殪
U+6bab,殫
U+6baf,殯
U+6bb2,殲
U+6bb1,殱
U+6bb7,殷
U+6bcb,毋
U+6bdf,毟
U+6bec,毬
U+6beb,毫
U+6bf3,毳
U+6bef,毯
U+9ebe,麾
U+6c08,氈
U+6c13,氓
U+6c1b,氛
U+6c5e,汞
U+6c55,汕
U+6c6a,汪
U+6c82,沂
U+6c8d,沍
U+6c9a,沚
U+6c81,沁
U+6c9b,沛
U+6c68,汨
U+6c90,沐
U+6cc4,泄
U+6cd3,泓
U+6cbd,沽
U+6cd7,泗
U+6cc5,泅
U+6cdd,泝
U+6cae,沮
U+6cb1,沱
U+6cbe,沾
U+6cdb,泛
U+6cef,泯
U+6cea,泪
U+6d1f,洟
U+884d,衍
U+6d36,洶
U+6d2b,洫
U+6d3d,洽
U+6d38,洸
U+6d35,洵
U+6d12,洒
U+6d0c,洌
U+6d63,浣
U+6d93,涓
U+6d5a,浚
U+6d79,浹
U+6d59,浙
U+6d8e,涎
U+6d95,涕
U+6d85,涅
U+6df9,淹
U+6db5,涵
U+6db8,涸
U+6dc6,淆
U+6dec,淬
U+6dcc,淌
U+6dd2,淒
U+6dc5,淅
U+6dd9,淙
U+6de4,淤
U+6dea,淪
U+6e2d,渭
U+6e6e,湮
U+6e19,渙
U+6e72,湲
U+6e3e,渾
U+6e23,渣
U+6e6b,湫
U+6e2b,渫
U+6e4d,湍
U+6e1f,渟
U+6e43,湃
U+6e3a,渺
U+6e4e,湎
U+6e1d,渝
U+6e38,游
U+6e82,溂
U+6e98,溘
U+6ec9,滉
U+6eb7,溷
U+6ed3,滓
U+6ebd,溽
U+6ec4,滄
U+6eb2,溲
U+6ed4,滔
U+6ed5,滕
U+6e8f,溏
U+6ea5,溥
U+6ec2,滂
U+6e9f,溟
U+6eec,滬
U+6ef8,滸
U+6efe,滾
U+6f3f,漿
U+6ef2,滲
U+6f31,漱
U+6f32,漲
U+6ecc,滌
U+6f3e,漾
U+6f13,漓
U+6ef7,滷
U+6f86,澆
U+6f7a,潺
U+6f78,潸
U+6f6f,潯
U+6f6d,潭
U+6f82,澂
U+6f58,潘
U+6f8e,澎
U+6f66,潦
U+6fb3,澳
U+6fa3,澣
U+6fa1,澡
U+6fb9,澹
U+6fc6,濆
U+6faa,澪
U+6fec,濬
U+6fd4,濔
U+6fd8,濘
U+6fdb,濛
U+7009,瀉
U+700b,瀋
U+6ffa,濺
U+7011,瀑
U+7001,瀁
U+700f,瀏
U+6ffe,濾
U+701b,瀛
U+701a,瀚
U+701d,瀝
U+701f,瀟
U+7030,瀰
U+703e,瀾
U+7032,瀲
U+7051,灑
U+7099,炙
U+7092,炒
U+70af,炯
U+70f1,烱
U+70ac,炬
U+70b8,炸
U+70b3,炳
U+70ae,炮
U+70df,烟
U+70cb,烋
U+70dd,烝
U+70d9,烙
U+7109,焉
U+70fd,烽
U+711c,焜
U+7119,焙
U+7165,煥
U+7155,煕
U+7188,熈
U+7166,煦
U+7162,煢
U+714c,煌
U+7156,煖
U+716c,煬
U+718f,熏
U+71fb,燻
U+7184,熄
U+7195,熕
U+71a8,熨
U+71ac,熬
U+71d7,燗
U+71b9,熹
U+71be,熾
U+71c9,燉
U+71d4,燔
U+71ce,燎
U+71e0,燠
U+71ec,燬
U+71e7,燧
U+71f5,燵
U+71fc,燼
U+71f9,燹
U+71ff,燿
U+720d,爍
U+721b,爛
U+7228,爨
U+722c,爬
U+7230,爰
U+7240,牀
U+7246,牆
U+724b,牋
U+7258,牘
U+7274,牴
U+727e,牾
U+7282,犂
U+7281,犁
U+7287,犇
U+7292,犒
U+7296,犖
U+72a2,犢
U+72b2,犲
U+72c3,狃
U+72c6,狆
U+72c4,狄
U+72ce,狎
U+72d2,狒
U+72e2,狢
U+72e0,狠
U+72e1,狡
U+72f7,狷
U+500f,倏
U+7317,猗
U+730a,猊
U+731c,猜
U+7316,猖
U+731d,猝
U+7334,猴
U+732f,猯
U+7329,猩
U+7325,猥
U+733e,猾
U+734f,獏
U+7357,獗
U+736a,獪
U+7370,獰
U+737a,獺
U+73c8,珈
U+73b3,玳
U+73bb,玻
U+73c0,珀
U+73e5,珥
U+73ee,珮
U+73de,珞
U+74a2,璢
U+7405,琅
U+746f,瑯
U+7425,琥
U+7432,琲
U+743a,琺
U+7455,瑕
U+745f,瑟
U+7459,瑙
U+7441,瑁
U+745c,瑜
U+7469,瑩
U+7470,瑰
U+7463,瑣
U+746a,瑪
U+7476,瑶
U+747e,瑾
U+748b,璋
U+749e,璞
U+74ca,瓊
U+74cf,瓏
U+74d4,瓔
U+74e0,瓠
U+74e3,瓣
U+74e7,瓧
U+74e9,瓩
U+74ee,瓮
U+74f2,瓲
U+74f0,瓰
U+74f1,瓱
U+74f8,瓸
U+74f7,瓷
U+7504,甄
U+7503,甃
U+7505,甅
U+750c,甌
U+750e,甎
U+750d,甍
U+7515,甕
U+7513,甓
U+7526,甦
U+755b,畛
U+755a,畚
U+7564,畤
U+756d,畭
U+7578,畸
U+7586,疆
U+7587,疇
U+7574,畴
U+7594,疔
U+759a,疚
U+759d,疝
U+75a5,疥
U+75a3,疣
U+75c2,痂
U+75b3,疳
U+75c3,痃
U+75b5,疵
U+75bd,疽
U+75b8,疸
U+75bc,疼
U+75b1,疱
U+75cd,痍
U+75ca,痊
U+75d2,痒
U+75d9,痙
U+75e3,痣
U+75de,痞
U+75fe,痾
U+75ff,痿
U+75fc,痼
U+7601,瘁
U+75f0,痰
U+75fa,痺
U+75f2,痲
U+75f3,痳
U+760b,瘋
U+7609,瘉
U+761f,瘟
U+7627,瘧
U+7620,瘠
U+7621,瘡
U+7622,瘢
U+7624,瘤
U+7634,瘴
U+7630,瘰
U+763b,瘻
U+7647,癇
U+7648,癈
U+7646,癆
U+765c,癜
U+7658,癘
U+7662,癢
U+7668,癨
U+7669,癩
U+766a,癪
U+7667,癧
U+766c,癬
U+7670,癰
U+7672,癲
U+7678,癸
U+768e,皎
U+7696,皖
U+7693,皓
U+7699,皙
U+769a,皚
U+76b0,皰
U+76b4,皴
U+76b8,皸
U+76b9,皹
U+76ba,皺
U+76c2,盂
U+76cd,盍
U+76d2,盒
U+76de,盞
U+76e5,盥
U+76e7,盧
U+76ea,盪
U+862f,蘯
U+76fb,盻
U+7708,眈
U+7707,眇
U+7704,眄
U+7729,眩
U+7725,眥
U+7726,眦
U+771b,眛
U+7737,眷
U+7738,眸
U+7747,睇
U+775a,睚
U+7768,睨
U+776b,睫
U+775b,睛
U+7765,睥
U+777e,睾
U+7779,睹
U+778e,瞎
U+778b,瞋
U+7791,瞑
U+77a0,瞠
U+779e,瞞
U+77b0,瞰
U+77bf,瞿
U+77bc,瞼
U+77bd,瞽
U+77bb,瞻
U+77c7,矇
U+77cd,矍
U+77da,矚
U+77dc,矜
U+77e3,矣
U+77ee,矮
U+77fc,矼
U+780c,砌
U+7812,砒
U+7820,砠
U+7845,硅
U+787c,硼
U+789a,碚
U+788c,碌
U+78a3,碣
U+78aa,碪
U+78d1,磑
U+78cb,磋
U+78d4,磔
U+78be,碾
U+78bc,碼
U+78c5,磅
U+78ca,磊
U+78ec,磬
U+78e7,磧
U+78da,磚
U+78fd,磽
U+78f4,磴
U+7912,礒
U+7911,礑
U+7919,礙
U+792c,礬
U+792b,礫
U+7940,祀
U+7960,祠
U+7957,祗
U+795f,祟
U+795a,祚
U+7953,祓
U+797a,祺
U+798a,禊
U+799d,禝
U+79a7,禧
U+79b3,禳
U+79b9,禹
U+79ba,禺
U+79c9,秉
U+79d5,秕
U+79e7,秧
U+79ec,秬
U+79e3,秣
U+7a08,稈
U+7a0d,稍
U+7a20,稠
U+7a1f,稟
U+7980,禀
U+7a37,稷
U+7a61,穡
U+7a62,穢
U+7a79,穹
U+7a7d,穽
U+7a88,窈
U+7a95,窕
U+7a98,窘
U+7a96,窖
U+7aa9,窩
U+7ab6,窶
U+7ac5,竅
U+7ac4,竄
U+7abf,窿
U+9083,邃
U+7ac7,竇
U+7acd,竍
U+7acf,竏
U+7ad5,竕
U+7ad3,竓
U+7ad9,站
U+7ada,竚
U+7ae1,竡
U+7ae2,竢
U+7ae6,竦
U+7aed,竭
U+7af0,竰
U+7b0f,笏
U+7b0a,笊
U+7b06,笆
U+7b33,笳
U+7b18,笘
U+7b19,笙
U+7b1e,笞
U+7b35,笵
U+7b28,笨
U+7b50,筐
U+7b7a,筺
U+7b04,笄
U+7b4d,筍
U+7b0b,笋
U+7b4c,筌
U+7b45,筅
U+7b75,筵
U+7b65,筥
U+7b74,筴
U+7b67,筧
U+7b70,筰
U+7b71,筱
U+7b6c,筬
U+7b6e,筮
U+7b9d,箝
U+7b98,箘
U+7b8d,箍
U+7b9c,箜
U+7b9a,箚
U+7b92,箒
U+7b8f,箏
U+7b5d,筝
U+7b99,箙
U+7bcb,篋
U+7bc1,篁
U+7bcc,篌
U+7bb4,箴
U+7bc6,篆
U+7bdd,篝
U+7be9,篩
U+7c11,簑
U+7c14,簔
U+7be5,篥
U+7c00,簀
U+7c07,簇
U+7c13,簓
U+7bf3,篳
U+7bf7,篷
U+7c17,簗
U+7c0d,簍
U+7c23,簣
U+7c27,簧
U+7c2a,簪
U+7c1f,簟
U+7c37,簷
U+7c2b,簫
U+7c3d,簽
U+7c4c,籌
U+7c43,籃
U+7c54,籔
U+7c40,籀
U+7c50,籐
U+7c5f,籟
U+7c64,籤
U+7c56,籖
U+7c65,籥
U+7c6c,籬
U+7c75,籵
U+7c83,粃
U+7ca4,粤
U+7ca2,粢
U+7ca8,粨
U+7cb3,粳
U+7cb2,粲
U+7cb1,粱
U+7cbd,粽
U+7cc0,糀
U+7cc5,糅
U+7cc2,糂
U+7cd2,糒
U+7cdc,糜
U+9b3b,鬻
U+7cef,糯
U+7cf2,糲
U+7cf4,糴
U+7cf6,糶
U+7cfa,糺
U+7d06,紆
U+7d02,紂
U+7d1c,紜
U+7d15,紕
U+7d0a,紊
U+7d45,絅
U+7d2e,紮
U+7d32,紲
U+7d3f,紿
U+7d35,紵
U+7d46,絆
U+7d73,絳
U+7d56,絖
U+7d4e,絎
U+7d68,絨
U+7d6e,絮
U+7d4f,絏
U+7d63,絣
U+7d89,綉
U+7d5b,絛
U+7d8f,綏
U+7d7d,絽
U+7d9b,綛
U+7dba,綺
U+7dae,綮
U+7da3,綣
U+7db5,綵
U+7dc7,緇
U+7dbd,綽
U+7dab,綫
U+7da2,綢
U+7daf,綯
U+7db8,綸
U+7d9f,綟
U+7db0,綰
U+7dd8,緘
U+7ddd,緝
U+7de4,緤
U+7dde,緞
U+7df2,緲
U+7de1,緡
U+7e05,縅
U+7e0a,縊
U+7e21,縡
U+7e12,縒
U+7e1f,縟
U+7e09,縉
U+7e0b,縋
U+7e22,縢
U+7e46,繆
U+7e66,繦
U+7e3b,縻
U+7e35,縵
U+7e39,縹
U+7e43,繃
U+7e37,縷
U+7e32,縲
U+7e3a,縺
U+7e67,繧
U+7e5d,繝
U+7e56,繖
U+7e5e,繞
U+7e59,繙
U+7e5a,繚
U+7e79,繹
U+7e7b,繻
U+7e83,纃
U+7e7d,繽
U+8fae,辮
U+7e88,纈
U+7e89,纉
U+7e90,纐
U+7e93,纓
U+7e94,纔
U+7e9b,纛
U+7e9c,纜
U+7f38,缸
U+7f45,罅
U+7f4c,罌
U+7f4d,罍
U+7f4e,罎
U+7f55,罕
U+7f54,罔
U+7f58,罘
U+7f5f,罟
U+7f60,罠
U+7f68,罨
U+7f69,罩
U+7f67,罧
U+7f82,羂
U+7f86,羆
U+7f83,羃
U+7f88,羈
U+7f87,羇
U+7f8c,羌
U+7f94,羔
U+7f9d,羝
U+7f9a,羚
U+7faf,羯
U+7fb2,羲
U+7fb9,羹
U+7fb6,羶
U+7fb8,羸
U+7fc5,翅
U+7fca,翊
U+7fd5,翕
U+7fd4,翔
U+7fe1,翡
U+7fe6,翦
U+7fe9,翩
U+7ff3,翳
U+7ff9,翹
U+98dc,飜
