yojijukugo,reading,link
一期一会,イチゴイチエ,https://www.kanjipedia.jp//kotoba/0000212700
一伍一什,いちごいちじゅう,https://www.kanjipedia.jp//kotoba/0000212800
一業所感,いちごうしょかん,https://www.kanjipedia.jp//kotoba/0000213000
一言半句,いちごんはんく,https://www.kanjipedia.jp//kotoba/0000213100
一言芳恩,いちごんほうおん,https://www.kanjipedia.jp//kotoba/0000213200
一字三礼,いちじさんらい,https://www.kanjipedia.jp//kotoba/0000213700
一字千金,いちじせんきん,https://www.kanjipedia.jp//kotoba/0000213800
一日千秋,イチジツセンシュウ,https://www.kanjipedia.jp//kotoba/0000213900
一字不説,いちじふせつ,https://www.kanjipedia.jp//kotoba/0000214300
一汁一菜,イチジュウイッサイ,https://www.kanjipedia.jp//kotoba/0000214400
一樹百穫,いちじゅひゃっかく,https://www.kanjipedia.jp//kotoba/0000214600
一上一下,いちじょういちげ,https://www.kanjipedia.jp//kotoba/0000214900
一場春夢,いちじょうのしゅんむ,https://www.kanjipedia.jp//kotoba/0000215000
一時流行,いちじりゅうこう,https://www.kanjipedia.jp//kotoba/0000213600
一新紀元,いちしんきげん,https://www.kanjipedia.jp//kotoba/0000215200
一塵法界,いちじんほっかい,https://www.kanjipedia.jp//kotoba/0000215300
一族郎党,いちぞくろうとう,https://www.kanjipedia.jp//kotoba/0000215700
一大決心,いちだいけっしん,https://www.kanjipedia.jp//kotoba/0000216000
一諾千金,いちだくせんきん,https://www.kanjipedia.jp//kotoba/0000216200
一団和気,いちだんのわき,https://www.kanjipedia.jp//kotoba/0000216300
一読三嘆,いちどくさんたん,https://www.kanjipedia.jp//kotoba/0000216700
一人当千,いちにんとうせん,https://www.kanjipedia.jp//kotoba/0000217300
一念発起,いちねんほっき,https://www.kanjipedia.jp//kotoba/0000217600
一暴十寒,いちばくじっかん,https://www.kanjipedia.jp//kotoba/0000217700
一罰百戒,いちばつひゃっかい,https://www.kanjipedia.jp//kotoba/0000217900
一病息災,いちびょうそくさい,https://www.kanjipedia.jp//kotoba/0000218100
一部始終,いちぶしじゅう,https://www.kanjipedia.jp//kotoba/0000218200
一別以来,いちべついらい,https://www.kanjipedia.jp//kotoba/0000218500
一望千頃,いちぼうせんけい,https://www.kanjipedia.jp//kotoba/0000218600
一望無垠,いちぼうむぎん,https://www.kanjipedia.jp//kotoba/0000218700
一木一草,いちぼくいっそう,https://www.kanjipedia.jp//kotoba/0000218800
一枚看板,いちまいかんばん,https://www.kanjipedia.jp//kotoba/0000219000
一味同心,いちみどうしん,https://www.kanjipedia.jp//kotoba/0000219200
一味徒党,いちみととう,https://www.kanjipedia.jp//kotoba/0000219300
一網打尽,いちもうだじん,https://www.kanjipedia.jp//kotoba/0000219500
一毛不抜,いちもうふばつ,https://www.kanjipedia.jp//kotoba/0000219600
一目十行,いちもくじゅうぎょう,https://www.kanjipedia.jp//kotoba/0000219800
一目瞭然,いちもくりょうぜん,https://www.kanjipedia.jp//kotoba/0000219900
一問一答,いちもんいっとう,https://www.kanjipedia.jp//kotoba/0000220600
一文半銭,いちもんはんせん,https://www.kanjipedia.jp//kotoba/0000220300
一文不通,いちもんふつう,https://www.kanjipedia.jp//kotoba/0000220400
一夜十起,いちやじっき,https://www.kanjipedia.jp//kotoba/0000220800
一遊一予,いちゆういちよ,https://www.kanjipedia.jp//kotoba/0000221100
一葉知秋,いちようちしゅう,https://www.kanjipedia.jp//kotoba/0000221300
一陽来復,いちようらいふく,https://www.kanjipedia.jp//kotoba/0000221600
一利一害,いちりいちがい,https://www.kanjipedia.jp//kotoba/0000222000
一粒万倍,いちりゅうまんばい,https://www.kanjipedia.jp//kotoba/0000222300
一了百了,いちりょうひゃくりょう,https://www.kanjipedia.jp//kotoba/0000222500
一蓮托生,イチレンタクショウ,https://www.kanjipedia.jp//kotoba/0000222700
一労永逸,いちろうえいいつ,https://www.kanjipedia.jp//kotoba/0000222800
一路平安,いちろへいあん,https://www.kanjipedia.jp//kotoba/0000223000
一攫千金,いっかくせんきん,https://www.kanjipedia.jp//kotoba/0000223900
一家眷族,いっかけんぞく,https://www.kanjipedia.jp//kotoba/0000224100
一家団欒,いっかだんらん,https://www.kanjipedia.jp//kotoba/0000224200
一喜一憂,イッキイチユウ,https://www.kanjipedia.jp//kotoba/0000225200
一気呵成,いっきかせい,https://www.kanjipedia.jp//kotoba/0000225400
一騎当千,いっきとうせん,https://www.kanjipedia.jp//kotoba/0000225600
一球入魂,いっきゅうにゅうこん,https://www.kanjipedia.jp//kotoba/0000225700
一虚一盈,いっきょいちえい,https://www.kanjipedia.jp//kotoba/0000225800
一挙一動,イッキョイチドウ,https://www.kanjipedia.jp//kotoba/0000225900
一挙両失,いっきょりょうしつ,https://www.kanjipedia.jp//kotoba/0000226300
一挙両得,いっきょりょうとく,https://www.kanjipedia.jp//kotoba/0000226400
有為転変,ういてんぺん,https://www.kanjipedia.jp//kotoba/0006846800
烏焉魯魚,うえんろぎょ,https://www.kanjipedia.jp//kotoba/0000322000
右往左往,うおうさおう,https://www.kanjipedia.jp//kotoba/0000308500
雨過天晴,うかてんせい,https://www.kanjipedia.jp//kotoba/0000318000
羽化登仙,うかとうせん,https://www.kanjipedia.jp//kotoba/0000311300
雨奇晴好,うきせいこう,https://www.kanjipedia.jp//kotoba/0000318200
禹行舜趨,うこうしゅんすう,https://www.kanjipedia.jp//kotoba/0000319600
右顧左眄,うこさべん,https://www.kanjipedia.jp//kotoba/0000308700
有財餓鬼,うざいがき,https://www.kanjipedia.jp//kotoba/0006847200
有相無相,うそうむそう,https://www.kanjipedia.jp//kotoba/0006847500
有象無象,うぞうむぞう,https://www.kanjipedia.jp//kotoba/0006847600
内股膏薬,うちまたごうやく,https://www.kanjipedia.jp//kotoba/0005375500
有頂天外,うちょうてんがい,https://www.kanjipedia.jp//kotoba/0006847900
烏兎匆匆,うとそうそう,https://www.kanjipedia.jp//kotoba/0000323200
海千山千,うみセンやまセン,https://www.kanjipedia.jp//kotoba/0000786600
有無相生,うむそうせい,https://www.kanjipedia.jp//kotoba/0006848400
有耶無耶,うやむや,https://www.kanjipedia.jp//kotoba/0006848500
紆余曲折,うよきょくせつ,https://www.kanjipedia.jp//kotoba/0000320700
