unicode,character
U+60aa,悪
U+5b89,安
U+6697,暗
U+59d4,委
U+610f,意
U+533b,医
U+80b2,育
U+54e1,員
U+98f2,飲
U+9662,院
U+904b,運
U+6cf3,泳
U+99c5,駅
U+592e,央
U+6a2a,横
U+5c4b,屋
U+6e29,温
U+5316,化
U+8377,荷
U+754c,界
U+958b,開
U+968e,階
U+5bd2,寒
U+611f,感
U+6f22,漢
U+9928,館
U+5cb8,岸
U+671f,期
U+8d77,起
U+5ba2,客
U+5bae,宮
U+6025,急
U+7403,球
U+7a76,究
U+7d1a,級
U+53bb,去
U+6a4b,橋
U+696d,業
U+5c40,局
U+66f2,曲
U+9280,銀
U+533a,区
U+82e6,苦
U+5177,具
U+541b,君
U+4fc2,係
U+8efd,軽
U+6c7a,決
U+8840,血
U+7814,研
U+770c,県
U+5eab,庫
U+6e56,湖
U+5411,向
U+5e78,幸
U+6e2f,港
U+53f7,号
U+6839,根
U+796d,祭
U+5742,坂
U+76bf,皿
U+4ed5,仕
U+4f7f,使
U+59cb,始
U+6307,指
U+6b7b,死
U+8a69,詩
U+6b6f,歯
U+4e8b,事
U+6301,持
U+6b21,次
U+5f0f,式
U+5b9f,実
U+5199,写
U+8005,者
U+4e3b,主
U+53d6,取
U+5b88,守
U+9152,酒
U+53d7,受
U+5dde,州
U+62fe,拾
U+7d42,終
U+7fd2,習
U+96c6,集
U+4f4f,住
U+91cd,重
U+5bbf,宿
U+6240,所
U+6691,暑
U+52a9,助
U+52dd,勝
U+5546,商
U+662d,昭
U+6d88,消
U+7ae0,章
U+4e57,乗
U+690d,植
U+6df1,深
U+7533,申
U+771f,真
U+795e,神
U+8eab,身
U+9032,進
U+4e16,世
U+6574,整
U+6614,昔
U+5168,全
U+60f3,想
U+76f8,相
U+9001,送
U+606f,息
U+901f,速
U+65cf,族
U+4ed6,他
U+6253,打
U+5bfe,対
U+5f85,待
U+4ee3,代
U+7b2c,第
U+984c,題
U+70ad,炭
U+77ed,短
U+8ac7,談
U+7740,着
U+67f1,柱
U+6ce8,注
U+4e01,丁
U+5e33,帳
U+8abf,調
U+8ffd,追
U+5b9a,定
U+5ead,庭
U+7b1b,笛
U+9244,鉄
U+8ee2,転
U+767b,登
U+90fd,都
U+5ea6,度
U+5cf6,島
U+6295,投
U+6e6f,湯
U+7b49,等
U+8c46,豆
U+52d5,動
U+7ae5,童
U+8fb2,農
U+6ce2,波
U+914d,配
U+500d,倍
U+7bb1,箱
U+7551,畑
U+767a,発
U+53cd,反
U+677f,板
U+60b2,悲
U+76ae,皮
U+7f8e,美
U+9f3b,鼻
U+7b46,筆
U+6c37,氷
U+8868,表
U+75c5,病
U+79d2,秒
U+54c1,品
U+8ca0,負
U+90e8,部
U+670d,服
U+798f,福
U+7269,物
U+5e73,平
U+8fd4,返
U+52c9,勉
U+653e,放
U+5473,味
U+547d,命
U+9762,面
U+554f,問
U+5f79,役
U+85ac,薬
U+6cb9,油
U+6709,有
U+7531,由
U+904a,遊
U+4e88,予
U+69d8,様
U+6d0b,洋
U+7f8a,羊
U+8449,葉
U+967d,陽
U+843d,落
U+6d41,流
U+65c5,旅
U+4e21,両
U+7dd1,緑
U+793c,礼
U+5217,列
U+7df4,練
U+8def,路
U+548c,和
