unicode,character
U+611b,愛
U+6848,案
U+4ee5,以
U+4f4d,位
U+56f2,囲
U+80c3,胃
U+8863,衣
U+5370,印
U+6804,栄
U+82f1,英
U+5869,塩
U+5104,億
U+52a0,加
U+679c,果
U+8ab2,課
U+8ca8,貨
U+82bd,芽
U+6539,改
U+68b0,械
U+5bb3,害
U+8857,街
U+5404,各
U+899a,覚
U+5b8c,完
U+5b98,官
U+7ba1,管
U+89b3,観
U+95a2,関
U+9858,願
U+559c,喜
U+5668,器
U+5e0c,希
U+65d7,旗
U+6a5f,機
U+5b63,季
U+7d00,紀
U+8b70,議
U+6551,救
U+6c42,求
U+6ce3,泣
U+7d66,給
U+6319,挙
U+6f01,漁
U+7af6,競
U+5171,共
U+5354,協
U+93e1,鏡
U+6975,極
U+8a13,訓
U+8ecd,軍
U+90e1,郡
U+578b,型
U+5f84,径
U+666f,景
U+82b8,芸
U+6b20,欠
U+7d50,結
U+5065,健
U+5efa,建
U+9a13,験
U+56fa,固
U+5019,候
U+529f,功
U+597d,好
U+5eb7,康
U+822a,航
U+544a,告
U+5dee,差
U+6700,最
U+83dc,菜
U+6750,材
U+6628,昨
U+5237,刷
U+5bdf,察
U+672d,札
U+6bba,殺
U+53c2,参
U+6563,散
U+7523,産
U+6b8b,残
U+53f8,司
U+53f2,史
U+58eb,士
U+6c0f,氏
U+8a66,試
U+5150,児
U+6cbb,治
U+8f9e,辞
U+5931,失
U+501f,借
U+7a2e,種
U+5468,周
U+795d,祝
U+9806,順
U+521d,初
U+5531,唱
U+677e,松
U+713c,焼
U+7167,照
U+7701,省
U+7b11,笑
U+8c61,象
U+8cde,賞
U+4fe1,信
U+81e3,臣
U+6210,成
U+6e05,清
U+9759,静
U+5e2d,席
U+7a4d,積
U+6298,折
U+7bc0,節
U+8aac,説
U+6226,戦
U+6d45,浅
U+9078,選
U+7136,然
U+5009,倉
U+5de3,巣
U+4e89,争
U+5074,側
U+675f,束
U+7d9a,続
U+5352,卒
U+5b6b,孫
U+5e2f,帯
U+968a,隊
U+9054,達
U+5358,単
U+7f6e,置
U+4ef2,仲
U+8caf,貯
U+5146,兆
U+8178,腸
U+4f4e,低
U+505c,停
U+5e95,底
U+7684,的
U+5178,典
U+4f1d,伝
U+5f92,徒
U+52aa,努
U+706f,灯
U+50cd,働
U+5802,堂
U+5f97,得
U+7279,特
U+6bd2,毒
U+71b1,熱
U+5ff5,念
U+6557,敗
U+6885,梅
U+535a,博
U+98ef,飯
U+8cbb,費
U+98db,飛
U+5fc5,必
U+6a19,標
U+7968,票
U+4e0d,不
U+4ed8,付
U+592b,夫
U+5e9c,府
U+526f,副
U+7c89,粉
U+5175,兵
U+5225,別
U+5909,変
U+8fba,辺
U+4fbf,便
U+5305,包
U+6cd5,法
U+671b,望
U+7267,牧
U+672b,末
U+6e80,満
U+672a,未
U+8108,脈
U+6c11,民
U+7121,無
U+7d04,約
U+52c7,勇
U+8981,要
U+990a,養
U+6d74,浴
U+5229,利
U+9678,陸
U+6599,料
U+826f,良
U+91cf,量
U+8f2a,輪
U+985e,類
U+4ee4,令
U+4f8b,例
U+51b7,冷
U+6b74,歴
U+9023,連
U+52b4,労
U+8001,老
U+9332,録
