unicode,character
U+5f15,引
U+7fbd,羽
U+96f2,雲
U+5712,園
U+9060,遠
U+9ec4,黄
U+4f55,何
U+590f,夏
U+5bb6,家
U+79d1,科
U+6b4c,歌
U+753b,画
U+4f1a,会
U+56de,回
U+6d77,海
U+7d75,絵
U+5916,外
U+89d2,角
U+697d,楽
U+6d3b,活
U+9593,間
U+4e38,丸
U+5ca9,岩
U+9854,顔
U+5e30,帰
U+6c7d,汽
U+8a18,記
U+5f13,弓
U+725b,牛
U+9b5a,魚
U+4eac,京
U+5f37,強
U+6559,教
U+8fd1,近
U+5144,兄
U+5f62,形
U+8a08,計
U+5143,元
U+539f,原
U+8a00,言
U+53e4,古
U+6238,戸
U+5348,午
U+5f8c,後
U+8a9e,語
U+4ea4,交
U+5149,光
U+516c,公
U+5de5,工
U+5e83,広
U+8003,考
U+884c,行
U+9ad8,高
U+5408,合
U+56fd,国
U+9ed2,黒
U+4eca,今
U+624d,才
U+7d30,細
U+4f5c,作
U+7b97,算
U+59c9,姉
U+5e02,市
U+601d,思
U+6b62,止
U+7d19,紙
U+5bfa,寺
U+6642,時
U+81ea,自
U+5ba4,室
U+793e,社
U+5f31,弱
U+9996,首
U+79cb,秋
U+9031,週
U+6625,春
U+66f8,書
U+5c11,少
U+5834,場
U+8272,色
U+98df,食
U+5fc3,心
U+65b0,新
U+89aa,親
U+56f3,図
U+6570,数
U+661f,星
U+6674,晴
U+58f0,声
U+897f,西
U+5207,切
U+96ea,雪
U+7dda,線
U+8239,船
U+524d,前
U+7d44,組
U+8d70,走
U+591a,多
U+592a,太
U+4f53,体
U+53f0,台
U+8c37,谷
U+77e5,知
U+5730,地
U+6c60,池
U+8336,茶
U+663c,昼
U+671d,朝
U+9577,長
U+9ce5,鳥
U+76f4,直
U+901a,通
U+5f1f,弟
U+5e97,店
U+70b9,点
U+96fb,電
U+51ac,冬
U+5200,刀
U+6771,東
U+5f53,当
U+7b54,答
U+982d,頭
U+540c,同
U+9053,道
U+8aad,読
U+5185,内
U+5357,南
U+8089,肉
U+99ac,馬
U+8cb7,買
U+58f2,売
U+9ea6,麦
U+534a,半
U+756a,番
U+7236,父
U+98a8,風
U+5206,分
U+805e,聞
U+7c73,米
U+6b69,歩
U+6bcd,母
U+65b9,方
U+5317,北
U+59b9,妹
U+6bce,毎
U+4e07,万
U+660e,明
U+9cf4,鳴
U+6bdb,毛
U+9580,門
U+591c,夜
U+91ce,野
U+77e2,矢
U+53cb,友
U+66dc,曜
U+7528,用
U+6765,来
U+7406,理
U+91cc,里
U+8a71,話
